location_id,location_name,sdi,sdi_quintile_2023,country_split,split_seed,split_stratifier
6,China,0.727553274,Q3,development,20260810,2023 SDI quintile (assignment only; never a feature)
7,Democratic People's Republic of Korea,0.57705994,Q2,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
8,Taiwan,0.881537661,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
10,Cambodia,0.499953382,Q1,development,20260810,2023 SDI quintile (assignment only; never a feature)
11,Indonesia,0.665731524,Q3,development,20260810,2023 SDI quintile (assignment only; never a feature)
12,Lao People's Democratic Republic,0.515008269,Q2,development,20260810,2023 SDI quintile (assignment only; never a feature)
13,Malaysia,0.770371353,Q4,development,20260810,2023 SDI quintile (assignment only; never a feature)
14,Maldives,0.660888616,Q3,development,20260810,2023 SDI quintile (assignment only; never a feature)
15,Myanmar,0.532025372,Q2,development,20260810,2023 SDI quintile (assignment only; never a feature)
16,Philippines,0.669416191,Q3,development,20260810,2023 SDI quintile (assignment only; never a feature)
17,Sri Lanka,0.730697976,Q3,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
18,Thailand,0.68718778,Q3,development,20260810,2023 SDI quintile (assignment only; never a feature)
19,Timor-Leste,0.484532958,Q1,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
20,Viet Nam,0.64302812,Q2,development,20260810,2023 SDI quintile (assignment only; never a feature)
22,Fiji,0.686418864,Q3,development,20260810,2023 SDI quintile (assignment only; never a feature)
23,Kiribati,0.542688753,Q2,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
24,Marshall Islands,0.605458023,Q2,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
25,Micronesia (Federated States of),0.596840305,Q2,development,20260810,2023 SDI quintile (assignment only; never a feature)
26,Papua New Guinea,0.43671418,Q1,development,20260810,2023 SDI quintile (assignment only; never a feature)
27,Samoa,0.604489559,Q2,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
28,Solomon Islands,0.45802266,Q1,development,20260810,2023 SDI quintile (assignment only; never a feature)
29,Tonga,0.63599479,Q2,development,20260810,2023 SDI quintile (assignment only; never a feature)
30,Vanuatu,0.47654316,Q1,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
33,Armenia,0.717334917,Q3,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
34,Azerbaijan,0.705297926,Q3,development,20260810,2023 SDI quintile (assignment only; never a feature)
35,Georgia,0.754633377,Q4,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
36,Kazakhstan,0.727191018,Q3,development,20260810,2023 SDI quintile (assignment only; never a feature)
37,Kyrgyzstan,0.625153433,Q2,development,20260810,2023 SDI quintile (assignment only; never a feature)
38,Mongolia,0.659697833,Q3,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
39,Tajikistan,0.551182019,Q2,development,20260810,2023 SDI quintile (assignment only; never a feature)
40,Turkmenistan,0.682174647,Q3,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
41,Uzbekistan,0.632090937,Q2,development,20260810,2023 SDI quintile (assignment only; never a feature)
43,Albania,0.706767038,Q3,development,20260810,2023 SDI quintile (assignment only; never a feature)
44,Bosnia and Herzegovina,0.712915296,Q3,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
45,Bulgaria,0.770862429,Q4,development,20260810,2023 SDI quintile (assignment only; never a feature)
46,Croatia,0.782133463,Q4,development,20260810,2023 SDI quintile (assignment only; never a feature)
47,Czechia,0.83103434,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
48,Hungary,0.793609757,Q4,development,20260810,2023 SDI quintile (assignment only; never a feature)
49,North Macedonia,0.758480094,Q4,development,20260810,2023 SDI quintile (assignment only; never a feature)
50,Montenegro,0.788565722,Q4,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
51,Poland,0.847008286,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
52,Romania,0.768756849,Q4,development,20260810,2023 SDI quintile (assignment only; never a feature)
53,Serbia,0.784525117,Q4,development,20260810,2023 SDI quintile (assignment only; never a feature)
54,Slovakia,0.813141722,Q4,development,20260810,2023 SDI quintile (assignment only; never a feature)
55,Slovenia,0.844865839,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
57,Belarus,0.803625792,Q4,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
58,Estonia,0.854860197,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
59,Latvia,0.8508436,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
60,Lithuania,0.856187639,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
61,Republic of Moldova,0.733718614,Q4,development,20260810,2023 SDI quintile (assignment only; never a feature)
62,Russian Federation,0.822523587,Q4,development,20260810,2023 SDI quintile (assignment only; never a feature)
63,Ukraine,0.764530545,Q4,development,20260810,2023 SDI quintile (assignment only; never a feature)
66,Brunei Darussalam,0.832363947,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
67,Japan,0.875884075,Q5,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
68,Republic of Korea,0.891662727,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
69,Singapore,0.869993868,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
71,Australia,0.852886303,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
72,New Zealand,0.866430611,Q5,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
74,Andorra,0.879855839,Q5,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
75,Austria,0.853959728,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
76,Belgium,0.876976215,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
77,Cyprus,0.855816058,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
78,Denmark,0.915990253,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
79,Finland,0.89081503,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
80,France,0.86109871,Q5,geographic_holdout,20260810,2023 SDI quintile (assignment only; never a feature)
81,Germany,0.878636199,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
82,Greece,0.831148242,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
83,Iceland,0.888965507,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
84,Ireland,0.906907098,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
85,Israel,0.840929726,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
86,Italy,0.834438992,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
87,Luxembourg,0.89475691,Q5,development,20260810,2023 SDI quintile (assignment only; never a feature)
