outcome,horizon,family,fold,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman
daly,1,elastic_net,cv1,326,0.247712055978,5.15829422367,14.0034453548,0.262693137061,2.21387497012,0.594789187539,0.941294448221
daly,1,elastic_net,cv2,326,0.237658168679,4.8780353453,14.7882609312,0.242414087122,2.1744821084,0.563323783618,0.938557827606
daly,1,elastic_net,cv3,326,0.234186595328,4.45896732785,11.2056351002,0.216369176983,2.14844460509,0.746832125959,0.935914725225
daly,1,extra_trees,cv1,326,0.0395439571075,0.599635225957,1.37120983032,0.030537238042,0.23551240083,0.996114749191,0.998034731633
daly,1,extra_trees,cv2,326,0.0422972029182,0.559534776847,1.20848380076,0.0278060945731,0.309629328315,0.99708386923,0.99744833767
daly,1,extra_trees,cv3,326,0.0314674328577,0.498488896503,0.975534854789,0.0241889263458,0.234807115905,0.99808123749,0.998402916383
daly,1,gru,cv1,326,0.0361810249431,0.452089301801,1.07539308132,0.0230232615226,0.205240943635,0.997610287257,0.99813483078
daly,1,gru,cv2,326,0.0353563652976,0.412617458102,0.67343142505,0.0205050347847,0.26114684672,0.999094450728,0.998005637071
daly,1,gru,cv3,326,0.0340139773195,0.456135458014,0.906596510061,0.0221337467595,0.207720420455,0.998342842722,0.998014988895
daly,1,hist_gradient_boosting,cv1,326,0.0410073516383,0.659144996805,1.78472873741,0.0335678539223,0.22902273145,0.993418033665,0.998063133467
daly,1,hist_gradient_boosting,cv2,326,0.0431297368287,0.711739316001,1.78298401594,0.0353699029105,0.30253340611,0.993652243942,0.997412662196
daly,1,hist_gradient_boosting,cv3,326,0.0373022060793,0.6986230556,2.04163423254,0.0339003371067,0.237499466935,0.991595894016,0.997948487039
daly,1,logtrend10,cv1,326,0.039513832982,0.483944078649,1.03093492934,0.0246455092846,0.26429988985,0.997803790671,0.997685250529
daly,1,logtrend10,cv2,326,0.0394156259858,0.45076904424,0.771776300756,0.0224009788014,0.251724857705,0.998810654029,0.997453533128
daly,1,logtrend10,cv3,326,0.0327976193573,0.470040920086,0.866052101909,0.0228085024064,0.25562089575,0.998487749688,0.998314593607
daly,1,logtrend5,cv1,326,0.0382972673943,0.464489376473,1.04141413328,0.0236547521615,0.22199687106,0.997758915882,0.997833147884
daly,1,logtrend5,cv2,326,0.0387080880005,0.457669491771,0.82164971394,0.0227438967121,0.258168756985,0.998651972519,0.997668625065
daly,1,logtrend5,cv3,326,0.0363965086159,0.46101818707,0.876219458892,0.0223706787641,0.21976158135,0.998452033955,0.997835918795
daly,1,persistence,cv1,326,0.0411624110899,0.568290578727,1.09073526668,0.0289409693233,0.28375179481,0.997541614792,0.997911772474
daly,1,persistence,cv2,326,0.0447729807589,0.534329378864,0.821536523737,0.026553511697,0.344514509855,0.998652343902,0.997377679449
daly,1,persistence,cv3,326,0.034950889819,0.468952466309,0.800244779273,0.0227556857271,0.27443164195,0.998708836199,0.998520680085
daly,1,pooled_ridge,cv1,326,0.0382342241371,0.508469078623,1.03038894153,0.0258944782073,0.23578249965,0.9978061163,0.998121668954
