outcome,horizon,family,nominal_coverage,n_oof,absolute_log1p_residual_quantile
daly,1,elastic_net,0.9,978,0.386815318415
daly,1,elastic_net,0.95,978,0.453762128975
daly,1,extra_trees,0.9,978,0.0502795121626
daly,1,extra_trees,0.95,978,0.0687739468768
daly,1,gru,0.9,978,0.0474149939346
daly,1,gru,0.95,978,0.0611299910102
daly,1,hist_gradient_boosting,0.9,978,0.0570128134564
daly,1,hist_gradient_boosting,0.95,978,0.0729223154003
daly,1,logtrend10,0.9,978,0.0515892373237
daly,1,logtrend10,0.95,978,0.0693527629073
daly,1,logtrend5,0.9,978,0.0556394816897
daly,1,logtrend5,0.95,978,0.0723720405108
daly,1,persistence,0.9,978,0.054501304934
daly,1,persistence,0.95,978,0.0695506895424
daly,1,pooled_ridge,0.9,978,0.047424799526
daly,1,pooled_ridge,0.95,978,0.0635219418679
daly,1,random_forest,0.9,978,0.0534076878381
daly,1,random_forest,0.95,978,0.0688858729177
daly,1,ridge,0.9,978,0.386420865426
daly,1,ridge,0.95,978,0.458884187482
daly,1,xgboost,0.9,978,0.0551043203165
daly,1,xgboost,0.95,978,0.0682822707236
daly,3,elastic_net,0.9,978,0.414608480585
daly,3,elastic_net,0.95,978,0.470241187015
daly,3,extra_trees,0.9,978,0.100247166835
daly,3,extra_trees,0.95,978,0.12927322504
daly,3,gru,0.9,978,0.103814080378
daly,3,gru,0.95,978,0.148397851545
daly,3,hist_gradient_boosting,0.9,978,0.105558670044
daly,3,hist_gradient_boosting,0.95,978,0.150094337288
daly,3,logtrend10,0.9,978,0.131010926364
daly,3,logtrend10,0.95,978,0.171372858309
daly,3,logtrend5,0.9,978,0.133797366789
daly,3,logtrend5,0.95,978,0.187266218108
daly,3,persistence,0.9,978,0.137205209886
daly,3,persistence,0.95,978,0.172057936441
daly,3,pooled_ridge,0.9,978,0.107201804924
daly,3,pooled_ridge,0.95,978,0.144400543395
daly,3,random_forest,0.9,978,0.108492240449
daly,3,random_forest,0.95,978,0.140468715796
daly,3,ridge,0.9,978,0.422088697582
daly,3,ridge,0.95,978,0.469549028255
daly,3,xgboost,0.9,978,0.1068556727
daly,3,xgboost,0.95,978,0.140996106443
daly,5,elastic_net,0.9,978,0.446083262703
daly,5,elastic_net,0.95,978,0.499850112896
daly,5,extra_trees,0.9,978,0.122463876057
daly,5,extra_trees,0.95,978,0.161797675097
daly,5,gru,0.9,978,0.151276840922
daly,5,gru,0.95,978,0.206851646302
daly,5,hist_gradient_boosting,0.9,978,0.143802937572
daly,5,hist_gradient_boosting,0.95,978,0.185548167642
daly,5,logtrend10,0.9,978,0.212247286191
daly,5,logtrend10,0.95,978,0.292197398174
daly,5,logtrend5,0.9,978,0.21696121576
daly,5,logtrend5,0.95,978,0.324190974372
daly,5,persistence,0.9,978,0.22526388574
daly,5,persistence,0.95,978,0.266499604857
daly,5,pooled_ridge,0.9,978,0.166005252891
daly,5,pooled_ridge,0.95,978,0.217615789596
daly,5,random_forest,0.9,978,0.139823487691
daly,5,random_forest,0.95,978,0.201762394675
daly,5,ridge,0.9,978,0.445250766176
daly,5,ridge,0.95,978,0.509588966097
daly,5,xgboost,0.9,978,0.140940162533
daly,5,xgboost,0.95,978,0.189295437951
death,1,elastic_net,0.9,978,0.102709139943
death,1,elastic_net,0.95,978,0.125757456164
death,1,extra_trees,0.9,978,0.0200661249494
death,1,extra_trees,0.95,978,0.0305898502382
death,1,gru,0.9,978,0.0177697965247
death,1,gru,0.95,978,0.0234438280492
death,1,hist_gradient_boosting,0.9,978,0.0213924456564
death,1,hist_gradient_boosting,0.95,978,0.0312391079625
death,1,logtrend10,0.9,978,0.0206953832477
death,1,logtrend10,0.95,978,0.0281583822239
death,1,logtrend5,0.9,978,0.0199701063235
death,1,logtrend5,0.95,978,0.0288577585854
death,1,persistence,0.9,978,0.0208722417343
death,1,persistence,0.95,978,0.0286289572054
death,1,pooled_ridge,0.9,978,0.0180330589759
death,1,pooled_ridge,0.95,978,0.0237616292573
death,1,random_forest,0.9,978,0.021034197609
death,1,random_forest,0.95,978,0.0292714061118
death,1,ridge,0.9,978,0.102076839799
death,1,ridge,0.95,978,0.124623839668
death,1,xgboost,0.9,978,0.020927044944
death,1,xgboost,0.95,978,0.030672458373
death,3,elastic_net,0.9,978,0.113952169253
death,3,elastic_net,0.95,978,0.133375978563
death,3,extra_trees,0.9,978,0.0381378337835
death,3,extra_trees,0.95,978,0.0524653621704
death,3,gru,0.9,978,0.0417067507977
death,3,gru,0.95,978,0.0664140333605
death,3,hist_gradient_boosting,0.9,978,0.0423378098478
death,3,hist_gradient_boosting,0.95,978,0.0577871320972
death,3,logtrend10,0.9,978,0.0509440290144
death,3,logtrend10,0.95,978,0.0730034630585
death,3,logtrend5,0.9,978,0.0520421956094
death,3,logtrend5,0.95,978,0.0786434037941
death,3,persistence,0.9,978,0.0543197849018
death,3,persistence,0.95,978,0.0705551161685
death,3,pooled_ridge,0.9,978,0.0425369963153
death,3,pooled_ridge,0.95,978,0.0583380781039
death,3,random_forest,0.9,978,0.0420022208305
death,3,random_forest,0.95,978,0.0548804087423
death,3,ridge,0.9,978,0.1101865027
death,3,ridge,0.95,978,0.134123306991
death,3,xgboost,0.9,978,0.0413581680675
death,3,xgboost,0.95,978,0.0550629563734
death,5,elastic_net,0.9,978,0.12274789394
death,5,elastic_net,0.95,978,0.147408337355
death,5,extra_trees,0.9,978,0.0475445097247
death,5,extra_trees,0.95,978,0.0643149591755
death,5,gru,0.9,978,0.0509827411069
death,5,gru,0.95,978,0.0669684788132
death,5,hist_gradient_boosting,0.9,978,0.0550670894247
death,5,hist_gradient_boosting,0.95,978,0.080232825036
death,5,logtrend10,0.9,978,0.082615947914
death,5,logtrend10,0.95,978,0.113945592105
death,5,logtrend5,0.9,978,0.084557195972
death,5,logtrend5,0.95,978,0.132640947541
death,5,persistence,0.9,978,0.0867361301232
death,5,persistence,0.95,978,0.111657158445
death,5,pooled_ridge,0.9,978,0.0654370332495
death,5,pooled_ridge,0.95,978,0.0876991676611
death,5,random_forest,0.9,978,0.0560328716095
death,5,random_forest,0.95,978,0.0731645759947
death,5,ridge,0.9,978,0.126593775741
death,5,ridge,0.95,978,0.150204260955
death,5,xgboost,0.9,978,0.0556259150931
death,5,xgboost,0.95,978,0.0738696051091
