outcome,horizon,family,ablation,feature
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__current
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__lag1
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__delta1
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__log_growth1
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__lag3
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__delta3
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__log_growth3
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__lag5
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__delta5
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__log_growth5
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__lag10
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__delta10
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__log_growth10
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__mean3
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__std3
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__cv3
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__mean5
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__std5
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__cv5
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__mean10
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__std10
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__cv10
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__log_slope5
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__log_slope10
daly,1,random_forest,remove_attributable_history,bmi_death_rate__current
daly,1,random_forest,remove_attributable_history,bmi_death_rate__lag1
daly,1,random_forest,remove_attributable_history,bmi_death_rate__delta1
daly,1,random_forest,remove_attributable_history,bmi_death_rate__log_growth1
daly,1,random_forest,remove_attributable_history,bmi_death_rate__lag3
daly,1,random_forest,remove_attributable_history,bmi_death_rate__delta3
daly,1,random_forest,remove_attributable_history,bmi_death_rate__log_growth3
daly,1,random_forest,remove_attributable_history,bmi_death_rate__lag5
daly,1,random_forest,remove_attributable_history,bmi_death_rate__delta5
daly,1,random_forest,remove_attributable_history,bmi_death_rate__log_growth5
daly,1,random_forest,remove_attributable_history,bmi_death_rate__lag10
daly,1,random_forest,remove_attributable_history,bmi_death_rate__delta10
daly,1,random_forest,remove_attributable_history,bmi_death_rate__log_growth10
daly,1,random_forest,remove_attributable_history,bmi_death_rate__mean3
daly,1,random_forest,remove_attributable_history,bmi_death_rate__std3
daly,1,random_forest,remove_attributable_history,bmi_death_rate__cv3
daly,1,random_forest,remove_attributable_history,bmi_death_rate__mean5
daly,1,random_forest,remove_attributable_history,bmi_death_rate__std5
daly,1,random_forest,remove_attributable_history,bmi_death_rate__cv5
daly,1,random_forest,remove_attributable_history,bmi_death_rate__mean10
daly,1,random_forest,remove_attributable_history,bmi_death_rate__std10
daly,1,random_forest,remove_attributable_history,bmi_death_rate__cv10
daly,1,random_forest,remove_attributable_history,bmi_death_rate__log_slope5
daly,1,random_forest,remove_attributable_history,bmi_death_rate__log_slope10
daly,1,random_forest,remove_attributable_history,bmi_daly_rate__current_rel_ui_width
daly,1,random_forest,remove_attributable_history,bmi_death_rate__current_rel_ui_width
daly,1,random_forest,remove_overall_history,overall_daly_rate__current
daly,1,random_forest,remove_overall_history,overall_daly_rate__lag1
daly,1,random_forest,remove_overall_history,overall_daly_rate__delta1
daly,1,random_forest,remove_overall_history,overall_daly_rate__log_growth1
daly,1,random_forest,remove_overall_history,overall_daly_rate__lag3
daly,1,random_forest,remove_overall_history,overall_daly_rate__delta3
daly,1,random_forest,remove_overall_history,overall_daly_rate__log_growth3
daly,1,random_forest,remove_overall_history,overall_daly_rate__lag5
daly,1,random_forest,remove_overall_history,overall_daly_rate__delta5
daly,1,random_forest,remove_overall_history,overall_daly_rate__log_growth5
daly,1,random_forest,remove_overall_history,overall_daly_rate__lag10
daly,1,random_forest,remove_overall_history,overall_daly_rate__delta10
daly,1,random_forest,remove_overall_history,overall_daly_rate__log_growth10
daly,1,random_forest,remove_overall_history,overall_daly_rate__mean3
daly,1,random_forest,remove_overall_history,overall_daly_rate__std3
daly,1,random_forest,remove_overall_history,overall_daly_rate__cv3
daly,1,random_forest,remove_overall_history,overall_daly_rate__mean5
daly,1,random_forest,remove_overall_history,overall_daly_rate__std5
daly,1,random_forest,remove_overall_history,overall_daly_rate__cv5
daly,1,random_forest,remove_overall_history,overall_daly_rate__mean10
daly,1,random_forest,remove_overall_history,overall_daly_rate__std10
daly,1,random_forest,remove_overall_history,overall_daly_rate__cv10
daly,1,random_forest,remove_overall_history,overall_daly_rate__log_slope5
daly,1,random_forest,remove_overall_history,overall_daly_rate__log_slope10
daly,1,random_forest,remove_overall_history,overall_death_rate__current
daly,1,random_forest,remove_overall_history,overall_death_rate__lag1
daly,1,random_forest,remove_overall_history,overall_death_rate__delta1
daly,1,random_forest,remove_overall_history,overall_death_rate__log_growth1
daly,1,random_forest,remove_overall_history,overall_death_rate__lag3
daly,1,random_forest,remove_overall_history,overall_death_rate__delta3
daly,1,random_forest,remove_overall_history,overall_death_rate__log_growth3
daly,1,random_forest,remove_overall_history,overall_death_rate__lag5
daly,1,random_forest,remove_overall_history,overall_death_rate__delta5
daly,1,random_forest,remove_overall_history,overall_death_rate__log_growth5
daly,1,random_forest,remove_overall_history,overall_death_rate__lag10
daly,1,random_forest,remove_overall_history,overall_death_rate__delta10
daly,1,random_forest,remove_overall_history,overall_death_rate__log_growth10
daly,1,random_forest,remove_overall_history,overall_death_rate__mean3
daly,1,random_forest,remove_overall_history,overall_death_rate__std3
daly,1,random_forest,remove_overall_history,overall_death_rate__cv3
daly,1,random_forest,remove_overall_history,overall_death_rate__mean5
daly,1,random_forest,remove_overall_history,overall_death_rate__std5
daly,1,random_forest,remove_overall_history,overall_death_rate__cv5
daly,1,random_forest,remove_overall_history,overall_death_rate__mean10
daly,1,random_forest,remove_overall_history,overall_death_rate__std10
daly,1,random_forest,remove_overall_history,overall_death_rate__cv10
daly,1,random_forest,remove_overall_history,overall_death_rate__log_slope5
daly,1,random_forest,remove_overall_history,overall_death_rate__log_slope10
daly,1,random_forest,remove_overall_history,overall_daly_rate__current_rel_ui_width
daly,1,random_forest,remove_overall_history,overall_death_rate__current_rel_ui_width
daly,1,random_forest,remove_overall_history,derived__current_daly_rate_gap
daly,1,random_forest,remove_overall_history,derived__current_death_rate_gap
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__current
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__lag1
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__delta1
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__log_growth1
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__lag3
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__delta3
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__log_growth3
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__lag5
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__delta5
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__log_growth5
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__lag10
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__delta10
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__log_growth10
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__mean3
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__std3
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__cv3
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__mean5
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__std5
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__cv5
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__mean10
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__std10
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__cv10
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__log_slope5
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__log_slope10
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__current
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__lag1
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__delta1
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__log_growth1
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__lag3
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__delta3
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__log_growth3
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__lag5
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__delta5
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__log_growth5
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__lag10
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__delta10
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__log_growth10
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__mean3
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__std3
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__cv3
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__mean5
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__std5
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__cv5
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__mean10
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__std10
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__cv10
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__log_slope5
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__log_slope10
daly,1,random_forest,remove_attributable_fraction,gbd_daly_fraction__current_rel_ui_width
daly,1,random_forest,remove_attributable_fraction,gbd_death_fraction__current_rel_ui_width
daly,1,random_forest,remove_attributable_fraction,derived__daly_fraction_definition_gap_pp
daly,1,random_forest,remove_attributable_fraction,derived__death_fraction_definition_gap_pp
daly,1,random_forest,remove_sdi,sdi__current
daly,1,random_forest,remove_sdi,sdi__lag1
daly,1,random_forest,remove_sdi,sdi__delta1
daly,1,random_forest,remove_sdi,sdi__log_growth1
daly,1,random_forest,remove_sdi,sdi__lag3
daly,1,random_forest,remove_sdi,sdi__delta3
daly,1,random_forest,remove_sdi,sdi__log_growth3
daly,1,random_forest,remove_sdi,sdi__lag5
daly,1,random_forest,remove_sdi,sdi__delta5
daly,1,random_forest,remove_sdi,sdi__log_growth5
daly,1,random_forest,remove_sdi,sdi__lag10
daly,1,random_forest,remove_sdi,sdi__delta10
daly,1,random_forest,remove_sdi,sdi__log_growth10
daly,1,random_forest,remove_sdi,sdi__mean3
daly,1,random_forest,remove_sdi,sdi__std3
daly,1,random_forest,remove_sdi,sdi__cv3
daly,1,random_forest,remove_sdi,sdi__mean5
daly,1,random_forest,remove_sdi,sdi__std5
daly,1,random_forest,remove_sdi,sdi__cv5
daly,1,random_forest,remove_sdi,sdi__mean10
daly,1,random_forest,remove_sdi,sdi__std10
daly,1,random_forest,remove_sdi,sdi__cv10
daly,1,random_forest,remove_sdi,sdi__log_slope5
daly,1,random_forest,remove_sdi,sdi__log_slope10
daly,1,random_forest,remove_sdi,sdi__current_rel_ui_width
daly,1,random_forest,remove_uncertainty_width,bmi_daly_rate__current_rel_ui_width
daly,1,random_forest,remove_uncertainty_width,bmi_death_rate__current_rel_ui_width
daly,1,random_forest,remove_uncertainty_width,gbd_daly_fraction__current_rel_ui_width
daly,1,random_forest,remove_uncertainty_width,gbd_death_fraction__current_rel_ui_width
daly,1,random_forest,remove_uncertainty_width,overall_daly_rate__current_rel_ui_width
daly,1,random_forest,remove_uncertainty_width,overall_death_rate__current_rel_ui_width
daly,1,random_forest,remove_uncertainty_width,sdi__current_rel_ui_width
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__current
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__lag1
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__delta1
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__log_growth1
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__lag3
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__delta3
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__log_growth3
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__lag5
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__delta5
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__log_growth5
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__lag10
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__delta10
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__log_growth10
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__mean3
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__std3
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__cv3
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__mean5
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__std5
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__cv5
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__mean10
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__std10
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__cv10
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__log_slope5
daly,3,extra_trees,remove_attributable_history,bmi_daly_rate__log_slope10
daly,3,extra_trees,remove_attributable_history,bmi_death_rate__current
daly,3,extra_trees,remove_attributable_history,bmi_death_rate__lag1
daly,3,extra_trees,remove_attributable_history,bmi_death_rate__delta1
daly,3,extra_trees,remove_attributable_history,bmi_death_rate__log_growth1
daly,3,extra_trees,remove_attributable_history,bmi_death_rate__lag3
daly,3,extra_trees,remove_attributable_history,bmi_death_rate__delta3
daly,3,extra_trees,remove_attributable_history,bmi_death_rate__log_growth3
daly,3,extra_trees,remove_attributable_history,bmi_death_rate__lag5
