outcome,horizon,tree_family,feature_family,sum_mean_absolute_shap,proportion_of_total_absolute_shap
daly,1,random_forest,BMI-attributable burden history,0.681278810813,0.980439602813
daly,1,random_forest,GBD attributable fraction history,0.00297399064686,0.00427991912018
daly,1,random_forest,derived definition/gap features,0.000918019467057,0.00132113699615
daly,1,random_forest,overall liver-cancer burden history,0.00845154963393,0.0121627648398
daly,1,random_forest,sociodemographic index history,0.00124838828877,0.00179657623071
daly,3,extra_trees,BMI-attributable burden history,0.63260408922,0.933090689767
daly,3,extra_trees,GBD attributable fraction history,0.0129519006695,0.0191040464888
daly,3,extra_trees,derived definition/gap features,0.00167921077138,0.00247683498042
daly,3,extra_trees,overall liver-cancer burden history,0.0245867459017,0.0362654369194
daly,3,extra_trees,sociodemographic index history,0.00614440350134,0.00906299184431
daly,5,extra_trees,BMI-attributable burden history,0.459368814335,0.603969370017
daly,5,extra_trees,GBD attributable fraction history,0.137355327667,0.180592169366
daly,5,extra_trees,derived definition/gap features,0.013410900542,0.017632396669
daly,5,extra_trees,overall liver-cancer burden history,0.140143368835,0.184257832805
daly,5,extra_trees,sociodemographic index history,0.0103045538167,0.0135482311441
death,1,extra_trees,BMI-attributable burden history,0.265050362479,0.970670329341
death,1,extra_trees,GBD attributable fraction history,0.00144834950636,0.00530416136463
death,1,extra_trees,derived definition/gap features,0.000458468449409,0.00167900815761
death,1,extra_trees,overall liver-cancer burden history,0.00541998046012,0.0198491115766
death,1,extra_trees,sociodemographic index history,0.000681934935124,0.00249738955977
death,3,extra_trees,BMI-attributable burden history,0.266872444268,0.941972985701
death,3,extra_trees,GBD attributable fraction history,0.00566082133512,0.0199808593547
death,3,extra_trees,derived definition/gap features,0.000569893003401,0.00201153706752
death,3,extra_trees,overall liver-cancer burden history,0.00797529494425,0.0281501989127
death,3,extra_trees,sociodemographic index history,0.00223375212706,0.00788441896357
death,5,extra_trees,BMI-attributable burden history,0.256729836078,0.913941660107
death,5,extra_trees,GBD attributable fraction history,0.0100453005923,0.0357606222941
death,5,extra_trees,derived definition/gap features,0.00075704073495,0.00269501619538
death,5,extra_trees,overall liver-cancer burden history,0.00960011840486,0.0341758024162
death,5,extra_trees,sociodemographic index history,0.0037716691628,0.0134268989872
