outcome,horizon,tree_family,feature,feature_family,mean_absolute_shap_log1p_target,mean_signed_shap_log1p_target,n_explained,within_task_rank
daly,1,random_forest,bmi_daly_rate__current,BMI-attributable burden history,0.640487250301,0.28699472184,505,1
daly,1,random_forest,bmi_daly_rate__mean10,BMI-attributable burden history,0.00516627689598,-0.000486598223485,505,2
daly,1,random_forest,bmi_daly_rate__lag1,BMI-attributable burden history,0.00488869866811,-0.000570994111622,505,3
daly,1,random_forest,bmi_daly_rate__mean3,BMI-attributable burden history,0.00441397018426,0.000168209840736,505,4
daly,1,random_forest,bmi_daly_rate__lag5,BMI-attributable burden history,0.00413065194012,-0.000495509283261,505,5
daly,1,random_forest,bmi_daly_rate__mean5,BMI-attributable burden history,0.00292617549192,3.49345359832e-05,505,6
daly,1,random_forest,bmi_death_rate__current,BMI-attributable burden history,0.00281157503354,0.000342113276538,505,7
daly,1,random_forest,bmi_daly_rate__lag3,BMI-attributable burden history,0.00278568218131,-0.000336097750897,505,8
daly,1,random_forest,bmi_death_rate__mean3,BMI-attributable burden history,0.00186658112712,-4.93064812531e-05,505,9
daly,1,random_forest,bmi_death_rate__mean5,BMI-attributable burden history,0.00171121199362,-0.000235307543742,505,10
daly,1,random_forest,bmi_death_rate__lag1,BMI-attributable burden history,0.00142179536003,-0.00021683527906,505,11
daly,1,random_forest,bmi_death_rate__mean10,BMI-attributable burden history,0.000882966703684,-0.000163327017414,505,12
daly,1,random_forest,bmi_daly_rate__delta1,BMI-attributable burden history,0.000690980648234,-1.73702540788e-05,505,13
daly,1,random_forest,bmi_death_rate__log_growth1,BMI-attributable burden history,0.000685523438599,-6.72466276618e-05,505,14
daly,1,random_forest,bmi_death_rate__lag3,BMI-attributable burden history,0.000629056116058,-0.000218617634908,505,15
daly,1,random_forest,bmi_death_rate__delta1,BMI-attributable burden history,0.000619135194573,3.17942000708e-05,505,16
daly,1,random_forest,bmi_daly_rate__log_growth1,BMI-attributable burden history,0.000527769203507,-3.51426244504e-05,505,17
daly,1,random_forest,overall_death_rate__log_growth1,overall liver-cancer burden history,0.000458447108517,1.64869271162e-05,505,18
daly,1,random_forest,overall_daly_rate__log_growth1,overall liver-cancer burden history,0.000440376376303,-1.61790154769e-05,505,19
daly,1,random_forest,overall_daly_rate__mean3,overall liver-cancer burden history,0.000409881320596,-0.00022613751778,505,20
daly,1,random_forest,overall_daly_rate__delta1,overall liver-cancer burden history,0.000378681959524,8.36174119391e-05,505,21
daly,1,random_forest,bmi_death_rate__lag10,BMI-attributable burden history,0.00037601528315,-0.000212940625414,505,22
daly,1,random_forest,bmi_daly_rate__lag10,BMI-attributable burden history,0.000355768922909,-0.000172902083349,505,23
daly,1,random_forest,overall_daly_rate__lag5,overall liver-cancer burden history,0.000334171354304,-0.000151310893176,505,24
daly,1,random_forest,overall_death_rate__lag5,overall liver-cancer burden history,0.000319257700165,-9.45900413812e-05,505,25
daly,1,random_forest,overall_death_rate__delta1,overall liver-cancer burden history,0.000314932413909,0.000117062382667,505,26
daly,1,random_forest,bmi_daly_rate__delta3,BMI-attributable burden history,0.000294802171677,8.30144523868e-05,505,27
daly,1,random_forest,overall_death_rate__current,overall liver-cancer burden history,0.000291688354477,-0.000130719986758,505,28
daly,1,random_forest,derived__current_death_rate_gap,derived definition/gap features,0.000288077129001,-0.000118114037745,505,29
daly,1,random_forest,overall_daly_rate__current,overall liver-cancer burden history,0.000271084856807,-0.000114702456097,505,30
daly,1,random_forest,derived__daly_fraction_definition_gap_pp,derived definition/gap features,0.000262250880419,-7.80682314499e-05,505,31
daly,1,random_forest,overall_death_rate__std10,overall liver-cancer burden history,0.00026041386511,-4.56900883316e-05,505,32
daly,1,random_forest,derived__current_daly_rate_gap,derived definition/gap features,0.000252445737513,-2.30300060939e-05,505,33
daly,1,random_forest,overall_daly_rate__lag1,overall liver-cancer burden history,0.000249287125069,-0.000136929449443,505,34
daly,1,random_forest,overall_daly_rate__lag3,overall liver-cancer burden history,0.000232802641361,-0.000103356420235,505,35
daly,1,random_forest,overall_daly_rate__std3,overall liver-cancer burden history,0.000232749085977,9.10240575255e-05,505,36
daly,1,random_forest,overall_daly_rate__mean10,overall liver-cancer burden history,0.00023241990515,-0.000110744511764,505,37
daly,1,random_forest,overall_daly_rate__delta3,overall liver-cancer burden history,0.000220206046169,7.05389284871e-05,505,38
daly,1,random_forest,bmi_death_rate__delta3,BMI-attributable burden history,0.000216483489894,6.13709455898e-05,505,39
daly,1,random_forest,overall_daly_rate__cv3,overall liver-cancer burden history,0.000210693052492,-8.38243037362e-05,505,40
daly,1,random_forest,bmi_death_rate__lag5,BMI-attributable burden history,0.000208828099488,-5.21966909122e-05,505,41
daly,1,random_forest,bmi_daly_rate__std3,BMI-attributable burden history,0.000198293221442,-3.96877452611e-05,505,42
daly,1,random_forest,overall_death_rate__mean5,overall liver-cancer burden history,0.000187290351658,-7.13157232437e-05,505,43
daly,1,random_forest,overall_daly_rate__log_growth3,overall liver-cancer burden history,0.0001867959586,4.2258766007e-05,505,44
daly,1,random_forest,overall_death_rate__lag1,overall liver-cancer burden history,0.000182486101127,-7.77327691234e-05,505,45
daly,1,random_forest,bmi_daly_rate__log_growth3,BMI-attributable burden history,0.000179369968138,2.54609702246e-05,505,46
daly,1,random_forest,bmi_death_rate__log_growth3,BMI-attributable burden history,0.000179178911149,7.23756744254e-06,505,47
daly,1,random_forest,sdi__log_growth10,sociodemographic index history,0.000178989856854,-8.8287658161e-05,505,48
daly,1,random_forest,gbd_death_fraction__delta10,GBD attributable fraction history,0.000176705949437,6.80538514781e-05,505,49
daly,1,random_forest,bmi_daly_rate__delta10,BMI-attributable burden history,0.000158867833152,4.84120224692e-05,505,50
daly,1,random_forest,gbd_death_fraction__delta1,GBD attributable fraction history,0.000156447718939,7.19918372678e-05,505,51
daly,1,random_forest,overall_death_rate__lag3,overall liver-cancer burden history,0.000155423673346,-6.87478920156e-05,505,52
daly,1,random_forest,sdi__delta1,sociodemographic index history,0.000154216480835,-7.57431388123e-05,505,53
daly,1,random_forest,overall_daly_rate__current_rel_ui_width,overall liver-cancer burden history,0.000151906253178,-6.70360715392e-05,505,54
daly,1,random_forest,overall_death_rate__delta3,overall liver-cancer burden history,0.000150817369389,4.39439436544e-05,505,55
daly,1,random_forest,overall_death_rate__log_growth3,overall liver-cancer burden history,0.000146455437035,2.7318260794e-05,505,56
daly,1,random_forest,overall_death_rate__lag10,overall liver-cancer burden history,0.000143527861713,-5.19527319804e-05,505,57
daly,1,random_forest,bmi_daly_rate__delta5,BMI-attributable burden history,0.000141033091861,2.7010011342e-05,505,58
daly,1,random_forest,overall_death_rate__cv3,overall liver-cancer burden history,0.000139873539868,-4.19655304515e-05,505,59
daly,1,random_forest,bmi_death_rate__std3,BMI-attributable burden history,0.000137737242667,3.30270892009e-05,505,60
daly,1,random_forest,bmi_death_rate__std10,BMI-attributable burden history,0.000136897642988,4.71608554598e-05,505,61
daly,1,random_forest,overall_death_rate__current_rel_ui_width,overall liver-cancer burden history,0.000136852979649,-8.58016649082e-06,505,62
daly,1,random_forest,overall_daly_rate__lag10,overall liver-cancer burden history,0.000135052990688,-5.49658259562e-05,505,63
daly,1,random_forest,gbd_death_fraction__std10,GBD attributable fraction history,0.000133237129228,3.73379881469e-05,505,64
daly,1,random_forest,bmi_daly_rate__current_rel_ui_width,BMI-attributable burden history,0.000133072450621,-7.37242542128e-05,505,65
daly,1,random_forest,bmi_daly_rate__log_slope5,BMI-attributable burden history,0.000132903477466,2.46479498918e-05,505,66
daly,1,random_forest,bmi_death_rate__delta10,BMI-attributable burden history,0.000132047251606,4.75705076069e-05,505,67
daly,1,random_forest,overall_death_rate__std3,overall liver-cancer burden history,0.000129980646297,3.66621216201e-05,505,68
daly,1,random_forest,overall_death_rate__log_slope5,overall liver-cancer burden history,0.000127186931674,3.8967975122e-05,505,69
daly,1,random_forest,bmi_death_rate__current_rel_ui_width,BMI-attributable burden history,0.000123277455732,-7.31650677779e-05,505,70
daly,1,random_forest,overall_daly_rate__log_slope5,overall liver-cancer burden history,0.000116754754526,3.71254912278e-05,505,71
daly,1,random_forest,overall_death_rate__mean3,overall liver-cancer burden history,0.000115827285003,-5.08259268362e-05,505,72
daly,1,random_forest,derived__death_fraction_definition_gap_pp,derived definition/gap features,0.000115245720124,7.4973911075e-06,505,73
daly,1,random_forest,bmi_daly_rate__std5,BMI-attributable burden history,0.000112376554497,1.54404988421e-05,505,74
daly,1,random_forest,bmi_daly_rate__cv10,BMI-attributable burden history,0.000110247650258,1.15760820059e-05,505,75
daly,1,random_forest,overall_death_rate__mean10,overall liver-cancer burden history,0.000109604641823,-1.29408422025e-05,505,76
daly,1,random_forest,bmi_death_rate__cv5,BMI-attributable burden history,0.000109471015978,4.61732169165e-06,505,77
