location_id,location_name,year,bmi_daly_rate,bmi_daly_rate_lower,bmi_daly_rate_upper,bmi_death_rate,bmi_death_rate_lower,bmi_death_rate_upper,gbd_daly_fraction,gbd_daly_fraction_lower,gbd_daly_fraction_upper,gbd_death_fraction,gbd_death_fraction_lower,gbd_death_fraction_upper,overall_daly_rate,overall_daly_rate_lower,overall_daly_rate_upper,overall_death_rate,overall_death_rate_lower,overall_death_rate_upper,sdi,sdi_lower,sdi_upper,asr_ratio_daly,asr_ratio_death,daly_fraction_definition_gap_pp,death_fraction_definition_gap_pp,bmi_daly_rate_rel_ui_width,bmi_death_rate_rel_ui_width,gbd_daly_fraction_rel_ui_width,gbd_death_fraction_rel_ui_width,overall_daly_rate_rel_ui_width,overall_death_rate_rel_ui_width,sdi_rel_ui_width,sdi_quintile_2023
6,China,2023,13.06241831,5.44345959,21.5099226,0.4096025879,0.1692978382,0.6711045714,0.06888612486,0.02890426298,0.1142518544,0.06376480256,0.02719862877,0.1082218982,189.9912471,166.5680889,219.3168378,6.437490377,5.720362806,7.366754659,0.727553274,0.727553274,0.727553274,0.06875273734,0.06362768158,0.0133387521,0.01371209777,1.229976152,1.225106354,1.238966361,1.270658202,0.2776377844,0.2557505731,0,Q3
7,Democratic People's Republic of Korea,2023,15.15163146,4.801268022,32.06656557,0.4582080983,0.1486880308,0.958375288,0.06395399482,0.02375723003,0.1248936763,0.05852121294,0.0214407031,0.1143727625,237.6899592,148.4465674,366.2865715,7.860917327,4.892074084,11.45751454,0.57705994,0.57705994,0.57705994,0.06374535764,0.05828939286,0.02086371849,0.0231820083,1.799495825,1.767073215,1.581393728,1.588006378,0.9164880367,0.8352002936,0,Q2
8,Taiwan,2023,19.37277661,7.612666861,35.48625362,0.6820583795,0.2711372544,1.255225171,0.1021770251,0.04003360713,0.1912892458,0.09302435781,0.03675195112,0.172081066,189.6745288,166.032901,213.6420337,7.334205212,6.335790093,8.277130958,0.881537661,0.881537661,0.881537661,0.1021369434,0.09299690419,0.0040081725,0.002745361769,1.438801847,1.442820653,1.480329247,1.454770751,0.2510043549,0.2646968293,0,Q5
10,Cambodia,2023,5.78392813,1.750478459,12.4238971,0.1949350257,0.05342096663,0.4297065972,0.0374495401,0.0153627634,0.06529645947,0.03710609183,0.01393754203,0.06543441261,154.0024129,94.52514471,237.7799639,5.225580428,3.21199453,8.249519624,0.499953382,0.499953382,0.499953382,0.03755738642,0.03730399491,-0.01078463246,-0.01979030753,1.845358103,1.930313084,1.333359393,1.387827929,0.9302115243,0.9640125462,0,Q1
11,Indonesia,2023,7.934092096,2.70299544,15.69197393,0.2242155234,0.07461625459,0.4409886625,0.05145162351,0.02226288629,0.08857441344,0.04463361683,0.0189723815,0.07785875817,155.0334626,92.35397478,249.0730018,5.046642933,3.000416512,7.984119278,0.665731524,0.665731524,0.665731524,0.05117664252,0.04442864818,0.02749809921,0.0204968655,1.637109619,1.634018923,1.288813115,1.319327916,1.010872262,0.98752831,0,Q3
12,Lao People's Democratic Republic,2023,9.176716862,3.100105135,18.28418954,0.2899235708,0.09668257097,0.598766396,0.04195849662,0.01639680554,0.07614399494,0.03864469307,0.01434467934,0.07257542532,219.632466,137.2116794,320.6758145,7.539994275,4.758699075,11.03812616,0.515008269,0.515008269,0.515008269,0.04178215101,0.03845143116,0.01763456066,0.01932619099,1.654631458,1.731779943,1.423959251,1.50682387,0.8353233856,0.8328158961,0,Q2
13,Malaysia,2023,24.42435253,9.801511632,47.25480343,0.8433540739,0.3388104879,1.641822574,0.09688877493,0.03875437337,0.1721491447,0.08481118516,0.03468007546,0.1481831618,250.9557154,202.0598328,334.1433156,9.888401161,8.228869142,12.74904902,0.770371353,0.770371353,0.770371353,0.09732534877,0.08528720266,-0.04365738384,-0.04760175049,1.533440518,1.545035622,1.376782516,1.338303269,0.5263218755,0.4571193869,0,Q4
14,Maldives,2023,13.22268295,5.3155891,24.47653672,0.506223619,0.1991277712,0.918497292,0.08018718623,0.03218661989,0.1381305918,0.06417926385,0.02474619404,0.1102713829,165.1665302,120.3888284,217.5717914,7.906449308,5.787197876,10.30746343,0.660888616,0.660888616,0.660888616,0.08005667332,0.06402666978,0.01305129066,0.01525940738,1.449096805,1.421050883,1.321208249,1.33259847,0.5883938039,0.5717187806,0,Q3
15,Myanmar,2023,7.128959698,1.924291553,16.96040164,0.2243217642,0.05862554506,0.5078642756,0.0399967135,0.01420114155,0.07763671991,0.03599784837,0.01235411756,0.06998881542,180.7842563,97.14409877,339.9905519,6.319588687,3.406105315,11.7187859,0.532025372,0.532025372,0.532025372,0.03943352062,0.03549626017,0.05631928762,0.05015881967,2.109159081,2.002653341,1.586019771,1.601059521,1.343294256,1.315383168,0,Q2
16,Philippines,2023,9.750517388,3.816266096,17.32978244,0.3348631577,0.122968045,0.6022646082,0.05969041873,0.02599997439,0.1023355214,0.05814068907,0.02483938406,0.101549207,163.5745512,130.1015615,203.5168896,5.765158474,4.581664396,7.182392725,0.669416191,0.669416191,0.669416191,0.05960901203,0.05808394674,0.008140670176,0.005674232956,1.385928132,1.431320682,1.278857623,1.319382762,0.4488187653,0.4511113338,0,Q3
17,Sri Lanka,2023,5.026322422,2.089222504,8.985418975,0.1762265736,0.07203195963,0.3160361156,0.06534697676,0.02773683541,0.1159192503,0.05975926062,0.02506906962,0.1067393032,76.85904957,63.53104528,93.89615203,2.946914975,2.46857049,3.60195274,0.730697976,0.730697976,0.730697976,0.06539662473,0.05980035904,-0.004964796692,-0.004109842261,1.372016336,1.384604779,1.349449037,1.366654016,0.3950752308,0.384599576,0,Q3
18,Thailand,2023,28.23541803,9.931898307,47.56456768,0.9115586253,0.335014532,1.541584574,0.09044211738,0.03475345043,0.1527099108,0.08630625197,0.03318123367,0.1449395517,312.3452527,242.7236986,412.3574546,10.57027986,8.353359533,13.53156893,0.68718778,0.68718778,0.68718778,0.09039810206,0.0862378894,0.004401531574,0.006836256663,1.332817858,1.323634057,1.304220465,1.294904083,0.5430969561,0.4898838505,0,Q3
