scope,location_id,location_name,outcome,year,bmi_rate,bmi_rate_lower,bmi_rate_upper,direct_gbd_fraction,direct_gbd_fraction_lower,direct_gbd_fraction_upper,overall_rate,overall_rate_lower,overall_rate_upper,asr_ratio_fraction,fraction_definition_gap_pp,sdi_group_order
global,1,Global,daly,1990,8.960318856,3.903410199,14.82297618,0.0499088878,0.02103606263,0.07910144278,179.5962252,159.8466184,206.985451,0.0498914654,0.001742240282,
global,1,Global,daly,1991,9.170436558,3.961600299,15.34476269,0.05102654782,0.02151347045,0.08116137999,179.7932945,161.1721823,206.2775659,0.05100544258,0.002110523882,
global,1,Global,daly,1992,9.388326063,3.978858809,15.73689608,0.05230395024,0.02210534443,0.08359763822,179.5802853,163.0576118,203.8099615,0.05227926913,0.002468111439,
global,1,Global,daly,1993,9.67760721,4.015500444,15.96272727,0.05369264936,0.02277386352,0.08528399726,180.3267636,163.3589557,205.0102263,0.05366705983,0.002558952469,
global,1,Global,daly,1994,9.967907727,4.097942467,16.07484025,0.05470162974,0.02325728799,0.08691707152,182.361512,165.0735248,208.2867253,0.05466015069,0.004147905165,
global,1,Global,daly,1995,10.31113904,4.264721387,16.54341177,0.05546203905,0.02354360059,0.08836809342,186.0747845,168.5568443,212.4162589,0.05541395124,0.00480878123,
global,1,Global,daly,1996,10.56962767,4.403337106,17.26584136,0.0565033141,0.02396719011,0.09014481569,187.2745523,168.3389889,212.3748656,0.05643920938,0.006410472711,
global,1,Global,daly,1997,10.70274717,4.475364916,17.47036141,0.05764730548,0.02432612716,0.09204136121,185.910443,166.8837866,209.5943418,0.05756937049,0.007793499023,
global,1,Global,daly,1998,10.92272986,4.577653868,17.65805826,0.0589477088,0.0246202723,0.09504876839,185.6299791,167.0572863,210.3923059,0.05884141082,0.0106297982,
global,1,Global,daly,1999,11.22075621,4.694834759,18.01945817,0.06051436084,0.02495010168,0.09663392971,185.813692,167.562204,208.2162479,0.06038713345,0.01272273964,
global,1,Global,daly,2000,11.44590795,4.782017569,18.29394228,0.06214042709,0.02560182129,0.09884635619,184.5871961,166.7232357,205.7196954,0.06200813597,0.01322911215,
global,1,Global,daly,2001,11.61746253,4.881945248,18.49366165,0.06363738501,0.02619380182,0.1007608805,182.9095308,166.149475,202.7717901,0.06351480148,0.01225835395,
global,1,Global,daly,2002,11.77266064,5.027896767,18.60984462,0.06565872216,0.02724914292,0.1034297313,179.6058431,163.2887652,199.7675172,0.06554720289,0.01115192688,
global,1,Global,daly,2003,11.81221777,5.116077995,18.51568018,0.06777837974,0.02838969742,0.1076431239,174.5962772,159.2520083,195.4718739,0.06765446525,0.01239144881,
global,1,Global,daly,2004,11.76835227,5.113666436,18.45443483,0.06950125185,0.02902402805,0.1115851389,169.6962905,153.1782852,190.7782941,0.06934949634,0.01517555184,
global,1,Global,daly,2005,11.8992134,5.192069905,18.72014938,0.07107043079,0.02971396423,0.1151242544,167.8635415,151.5454331,190.473302,0.07088622875,0.01842020466,
