partition,location_id,sdi_quintile_2023_assignment_only
test_spatiotemporal_unseen_country,7,Q2
test_spatiotemporal_unseen_country,17,Q3
test_spatiotemporal_unseen_country,19,Q1
test_spatiotemporal_unseen_country,23,Q2
test_spatiotemporal_unseen_country,24,Q2
test_spatiotemporal_unseen_country,27,Q2
test_spatiotemporal_unseen_country,30,Q1
test_spatiotemporal_unseen_country,33,Q3
test_spatiotemporal_unseen_country,35,Q4
test_spatiotemporal_unseen_country,38,Q3
test_spatiotemporal_unseen_country,40,Q3
test_spatiotemporal_unseen_country,44,Q3
test_spatiotemporal_unseen_country,50,Q4
test_spatiotemporal_unseen_country,57,Q4
test_spatiotemporal_unseen_country,67,Q5
test_spatiotemporal_unseen_country,72,Q5
test_spatiotemporal_unseen_country,74,Q5
test_spatiotemporal_unseen_country,80,Q5
test_spatiotemporal_unseen_country,89,Q5
test_spatiotemporal_unseen_country,95,Q5
test_spatiotemporal_unseen_country,113,Q3
test_spatiotemporal_unseen_country,123,Q3
test_spatiotemporal_unseen_country,136,Q3
test_spatiotemporal_unseen_country,140,Q4
test_spatiotemporal_unseen_country,145,Q5
test_spatiotemporal_unseen_country,147,Q4
test_spatiotemporal_unseen_country,149,Q2
test_spatiotemporal_unseen_country,150,Q4
test_spatiotemporal_unseen_country,152,Q4
test_spatiotemporal_unseen_country,153,Q2
test_spatiotemporal_unseen_country,157,Q1
test_spatiotemporal_unseen_country,165,Q2
test_spatiotemporal_unseen_country,168,Q1
test_spatiotemporal_unseen_country,177,Q1
test_spatiotemporal_unseen_country,182,Q1
test_spatiotemporal_unseen_country,187,Q1
test_spatiotemporal_unseen_country,191,Q1
test_spatiotemporal_unseen_country,213,Q1
test_spatiotemporal_unseen_country,298,Q4
test_spatiotemporal_unseen_country,369,Q2
test_spatiotemporal_unseen_country,385,Q5
test_temporal_seen_country,6,Q3
test_temporal_seen_country,8,Q5
test_temporal_seen_country,10,Q1
test_temporal_seen_country,11,Q3
test_temporal_seen_country,12,Q2
test_temporal_seen_country,13,Q4
test_temporal_seen_country,14,Q3
test_temporal_seen_country,15,Q2
test_temporal_seen_country,16,Q3
test_temporal_seen_country,18,Q3
test_temporal_seen_country,20,Q2
test_temporal_seen_country,22,Q3
test_temporal_seen_country,25,Q2
test_temporal_seen_country,26,Q1
test_temporal_seen_country,28,Q1
test_temporal_seen_country,29,Q2
test_temporal_seen_country,34,Q3
test_temporal_seen_country,36,Q3
test_temporal_seen_country,37,Q2
test_temporal_seen_country,39,Q2
test_temporal_seen_country,41,Q2
test_temporal_seen_country,43,Q3
test_temporal_seen_country,45,Q4
test_temporal_seen_country,46,Q4
test_temporal_seen_country,47,Q5
test_temporal_seen_country,48,Q4
test_temporal_seen_country,49,Q4
test_temporal_seen_country,51,Q5
test_temporal_seen_country,52,Q4
test_temporal_seen_country,53,Q4
test_temporal_seen_country,54,Q4
test_temporal_seen_country,55,Q5
test_temporal_seen_country,58,Q5
test_temporal_seen_country,59,Q5
test_temporal_seen_country,60,Q5
test_temporal_seen_country,61,Q4
test_temporal_seen_country,62,Q4
test_temporal_seen_country,63,Q4
test_temporal_seen_country,66,Q5
test_temporal_seen_country,68,Q5
test_temporal_seen_country,69,Q5
test_temporal_seen_country,71,Q5
test_temporal_seen_country,75,Q5
test_temporal_seen_country,76,Q5
test_temporal_seen_country,77,Q5
test_temporal_seen_country,78,Q5
test_temporal_seen_country,79,Q5
test_temporal_seen_country,81,Q5
test_temporal_seen_country,82,Q5
test_temporal_seen_country,83,Q5
test_temporal_seen_country,84,Q5
test_temporal_seen_country,85,Q5
test_temporal_seen_country,86,Q5
test_temporal_seen_country,87,Q5
test_temporal_seen_country,88,Q4
test_temporal_seen_country,90,Q5
test_temporal_seen_country,91,Q4
test_temporal_seen_country,92,Q4
test_temporal_seen_country,93,Q5
test_temporal_seen_country,94,Q5
test_temporal_seen_country,97,Q4
test_temporal_seen_country,98,Q4
test_temporal_seen_country,99,Q4
test_temporal_seen_country,101,Q5
test_temporal_seen_country,102,Q5
test_temporal_seen_country,105,Q4
test_temporal_seen_country,106,Q4
test_temporal_seen_country,107,Q4
test_temporal_seen_country,108,Q2
test_temporal_seen_country,109,Q3
test_temporal_seen_country,110,Q4
test_temporal_seen_country,111,Q3
test_temporal_seen_country,112,Q3
test_temporal_seen_country,114,Q1
test_temporal_seen_country,115,Q3
test_temporal_seen_country,116,Q3
test_temporal_seen_country,117,Q3
test_temporal_seen_country,118,Q3
test_temporal_seen_country,119,Q4
test_temporal_seen_country,121,Q2
test_temporal_seen_country,122,Q3
test_temporal_seen_country,125,Q3
test_temporal_seen_country,126,Q3
test_temporal_seen_country,127,Q2
test_temporal_seen_country,128,Q2
test_temporal_seen_country,129,Q2
test_temporal_seen_country,130,Q3
test_temporal_seen_country,131,Q2
test_temporal_seen_country,132,Q3
test_temporal_seen_country,133,Q2
test_temporal_seen_country,135,Q3
test_temporal_seen_country,139,Q3
test_temporal_seen_country,141,Q3
test_temporal_seen_country,142,Q3
test_temporal_seen_country,143,Q3
test_temporal_seen_country,144,Q3
test_temporal_seen_country,146,Q3
test_temporal_seen_country,148,Q2
test_temporal_seen_country,151,Q5
test_temporal_seen_country,154,Q3
test_temporal_seen_country,155,Q3
test_temporal_seen_country,156,Q5
test_temporal_seen_country,160,Q1
test_temporal_seen_country,161,Q2
test_temporal_seen_country,162,Q2
test_temporal_seen_country,163,Q2
test_temporal_seen_country,164,Q1
test_temporal_seen_country,169,Q1
test_temporal_seen_country,170,Q2
test_temporal_seen_country,171,Q1
test_temporal_seen_country,172,Q2
test_temporal_seen_country,173,Q2
test_temporal_seen_country,175,Q1
test_temporal_seen_country,176,Q1
test_temporal_seen_country,178,Q1
test_temporal_seen_country,179,Q1
test_temporal_seen_country,180,Q2
test_temporal_seen_country,181,Q1
test_temporal_seen_country,183,Q4
test_temporal_seen_country,184,Q1
test_temporal_seen_country,185,Q1
test_temporal_seen_country,186,Q4
test_temporal_seen_country,189,Q1
test_temporal_seen_country,190,Q1
test_temporal_seen_country,193,Q3
test_temporal_seen_country,194,Q2
test_temporal_seen_country,195,Q2
test_temporal_seen_country,196,Q3
test_temporal_seen_country,197,Q2
test_temporal_seen_country,198,Q1
test_temporal_seen_country,200,Q1
test_temporal_seen_country,201,Q1
test_temporal_seen_country,202,Q1
test_temporal_seen_country,203,Q2
test_temporal_seen_country,204,Q1
test_temporal_seen_country,205,Q1
