partition,feature,development_mean,test_mean,standardized_mean_difference,ks_statistic,wasserstein_distance,absolute_smd
test_spatiotemporal_unseen_country,gbd_daly_fraction__current,0.1243495439,0.1630469436,0.515651907,0.284248591,0.03873996111,0.515651907
test_spatiotemporal_unseen_country,gbd_daly_fraction__lag10,0.1060659674,0.1427060893,0.5152273027,0.2860317223,0.03670334212,0.5152273027
test_spatiotemporal_unseen_country,gbd_daly_fraction__mean3,0.1225071245,0.1609319387,0.5143889471,0.282174298,0.0384684594,0.5143889471
test_spatiotemporal_unseen_country,gbd_daly_fraction__lag1,0.1225075085,0.160930534,0.5142596875,0.2803849319,0.03846670241,0.5142596875
test_spatiotemporal_unseen_country,gbd_daly_fraction__mean5,0.1206633605,0.1588434068,0.5135934919,0.2816842486,0.03822514338,0.5135934919
test_spatiotemporal_unseen_country,gbd_daly_fraction__mean10,0.1160759978,0.1537270898,0.5133125444,0.2818550801,0.037704272,0.5133125444
test_spatiotemporal_unseen_country,gbd_daly_fraction__lag3,0.1188194286,0.1567472671,0.5125225645,0.2787165195,0.03797371902,0.5125225645
test_spatiotemporal_unseen_country,gbd_daly_fraction__lag5,0.1151389173,0.1526260813,0.5116562269,0.2788237568,0.03753851995,0.5116562269
test_spatiotemporal_unseen_country,gbd_death_fraction__current,0.1201242095,0.1565303576,0.5078779679,0.2684585266,0.03644503495,0.5078779679
test_spatiotemporal_unseen_country,gbd_death_fraction__mean3,0.1183803113,0.1544745224,0.506250735,0.2663212629,0.03613534848,0.506250735
test_spatiotemporal_unseen_country,gbd_death_fraction__lag1,0.1183796303,0.1544714276,0.5061229757,0.2667046985,0.03613289096,0.5061229757
test_spatiotemporal_unseen_country,gbd_death_fraction__mean5,0.1166381035,0.1524500136,0.5050566682,0.2685152626,0.03585652002,0.5050566682
test_spatiotemporal_unseen_country,gbd_death_fraction__mean10,0.1123102931,0.1475034129,0.5036652493,0.2673792957,0.03524876037,0.5036652493
test_spatiotemporal_unseen_country,gbd_death_fraction__lag3,0.1148948658,0.1504168597,0.5036076921,0.2675569854,0.03556866953,0.5036076921
test_spatiotemporal_unseen_country,gbd_death_fraction__lag10,0.1028790821,0.1368600013,0.5027722587,0.2724188239,0.0340571073,0.5027722587
test_spatiotemporal_unseen_country,gbd_death_fraction__lag5,0.1114218018,0.1464335165,0.5018641496,0.2640992069,0.0350659779,0.5018641496
test_spatiotemporal_unseen_country,gbd_daly_fraction__current_rel_ui_width,1.272793186,1.197922008,-0.355255158,0.320398773,0.08118378913,0.355255158
test_spatiotemporal_unseen_country,gbd_death_fraction__current_rel_ui_width,1.289103065,1.216130962,-0.341416495,0.3072996159,0.07696733531,0.341416495
test_spatiotemporal_unseen_country,bmi_death_rate__current,0.6459417431,1.159475662,0.3386673622,0.264608584,0.5135651804,0.3386673622
test_spatiotemporal_unseen_country,bmi_death_rate__mean3,0.637213672,1.158254476,0.3356172701,0.2626346701,0.5210647494,0.3356172701
test_spatiotemporal_unseen_country,bmi_death_rate__lag1,0.6371588599,1.158554475,0.335530451,0.2640050626,0.5214211792,0.335530451
test_spatiotemporal_unseen_country,bmi_death_rate__mean5,0.6286180681,1.158830689,0.3334978034,0.2594181755,0.5302287947,0.3334978034
test_spatiotemporal_unseen_country,bmi_death_rate__lag3,0.6198719831,1.159401866,0.3309891731,0.2591625517,0.5395428934,0.3309891731
test_spatiotemporal_unseen_country,bmi_death_rate__mean10,0.6080618147,1.145091578,0.3297195095,0.2453944087,0.5370491652,0.3297195095
test_spatiotemporal_unseen_country,bmi_daly_rate__current,18.13108593,31.45546049,0.3296403121,0.2680102499,13.32644893,0.3296403121
test_spatiotemporal_unseen_country,bmi_death_rate__lag5,0.6033618952,1.156981425,0.3277237651,0.248675121,0.5536284675,0.3277237651
test_spatiotemporal_unseen_country,bmi_daly_rate__mean3,17.89210075,31.44585036,0.3273613307,0.266931019,13.55577587,0.3273613307
test_spatiotemporal_unseen_country,bmi_daly_rate__lag1,17.89026661,31.45376851,0.3273315101,0.2653262008,13.5655921,0.3273315101
test_spatiotemporal_unseen_country,bmi_daly_rate__mean5,17.6573059,31.49320834,0.3259477178,0.2632388149,13.83797299,0.3259477178
test_spatiotemporal_unseen_country,bmi_daly_rate__lag3,17.41809838,31.5387459,0.324047123,0.2596245449,14.12279183,0.324047123
test_spatiotemporal_unseen_country,bmi_death_rate__lag10,0.5639184693,1.072045762,0.3233435861,0.2220266597,0.508159678,0.3233435861
test_spatiotemporal_unseen_country,bmi_daly_rate__mean10,17.09882384,31.210879,0.3230983338,0.2469075764,14.11444962,0.3230983338
test_spatiotemporal_unseen_country,bmi_daly_rate__lag5,16.96770476,31.54542239,0.3216233756,0.2519845129,14.5792309,0.3216233756
test_spatiotemporal_unseen_country,bmi_daly_rate__lag10,15.90923737,29.45377006,0.3170298145,0.215615492,13.54714726,0.3170298145
test_spatiotemporal_unseen_country,gbd_death_fraction__std3,0.00145008681,0.001707913484,0.3139869122,0.1522887675,0.0002578304113,0.3139869122
test_spatiotemporal_unseen_country,overall_death_rate__cv10,0.06341224418,0.04832347,-0.3045993755,0.2237050476,0.01553742512,0.3045993755
test_spatiotemporal_unseen_country,overall_daly_rate__cv10,0.06467172321,0.04988022674,-0.2987431363,0.2322185645,0.01508770651,0.2987431363
test_spatiotemporal_unseen_country,gbd_death_fraction__delta3,0.005229343689,0.006113497951,0.2979803337,0.1571524764,0.0008846871937,0.2979803337
test_spatiotemporal_unseen_country,gbd_death_fraction__std5,0.002503866359,0.002899360322,0.2942848749,0.1462610355,0.000395604315,0.2942848749
test_spatiotemporal_unseen_country,gbd_death_fraction__delta5,0.008702407713,0.01009684111,0.2934954221,0.1402750761,0.001394688039,0.2934954221
test_spatiotemporal_unseen_country,bmi_death_rate__std10,0.04082194067,0.07671466119,0.288112195,0.1429497731,0.03599993665,0.288112195
test_spatiotemporal_unseen_country,sdi__current,0.5894246494,0.6401324475,0.2795648746,0.1601002544,0.05364685698,0.2795648746
test_spatiotemporal_unseen_country,sdi__lag1,0.5842714244,0.6349001714,0.277897437,0.1594755349,0.05380108278,0.277897437
test_spatiotemporal_unseen_country,sdi__mean3,0.58427265,0.6348708092,0.2777643861,0.1590777595,0.05379128568,0.2777643861
test_spatiotemporal_unseen_country,sdi__mean5,0.5791179226,0.6295294015,0.2756465182,0.1575795551,0.0539176806,0.2756465182
test_spatiotemporal_unseen_country,bmi_death_rate__std3,0.014496535,0.02875735435,0.2749161477,0.1194186742,0.01427086678,0.2749161477
test_spatiotemporal_unseen_country,sdi__lag3,0.5739684377,0.6242200634,0.2735872498,0.15860205,0.0540437985,0.2735872498
test_spatiotemporal_unseen_country,bmi_death_rate__std5,0.02315461833,0.04398632776,0.2721745636,0.1165488304,0.02087271207,0.2721745636
test_spatiotemporal_unseen_country,gbd_death_fraction__delta1,0.001744579234,0.002058930012,0.27041792,0.151302434,0.0003274419053,0.27041792
test_spatiotemporal_unseen_country,sdi__mean10,0.5661854482,0.6159753822,0.2699611489,0.1569049579,0.05416686748,0.2699611489
test_spatiotemporal_unseen_country,sdi__lag5,0.5636321776,0.6133883818,0.2689287364,0.1563014365,0.05423706619,0.2689287364
test_spatiotemporal_unseen_country,bmi_daly_rate__std10,1.163402001,2.139755622,0.2680405493,0.1264146591,0.9806111316,0.2680405493
test_spatiotemporal_unseen_country,gbd_daly_fraction__std3,0.00153268501,0.001751646045,0.2637328337,0.1270449898,0.0002191250982,0.2637328337
test_spatiotemporal_unseen_country,gbd_death_fraction__delta10,0.0172451274,0.01967035633,0.263672027,0.1587167689,0.00244248407,0.263672027
test_spatiotemporal_unseen_country,bmi_daly_rate__std3,0.4121471514,0.800952859,0.2588893891,0.1117480922,0.3889701824,0.2588893891
test_spatiotemporal_unseen_country,gbd_death_fraction__std10,0.005038190182,0.00571654013,0.2575451044,0.1428537583,0.0006846122392,0.2575451044
test_spatiotemporal_unseen_country,sdi__lag10,0.5376591937,0.5858191261,0.2565494101,0.1416672901,0.05424718379,0.2565494101
test_spatiotemporal_unseen_country,gbd_daly_fraction__delta3,0.00553011534,0.006299676454,0.2553140527,0.1324573545,0.0007697213347,0.2553140527
test_spatiotemporal_unseen_country,bmi_daly_rate__std5,0.6602179662,1.233787016,0.2524464571,0.102356726,0.5747228876,0.2524464571
test_spatiotemporal_unseen_country,gbd_daly_fraction__delta5,0.00921062656,0.01042086226,0.2504431806,0.1241639234,0.001210235702,0.2504431806
test_spatiotemporal_unseen_country,gbd_daly_fraction__std5,0.002650777014,0.002983581166,0.2435163185,0.1250723228,0.0003328533592,0.2435163185
test_spatiotemporal_unseen_country,gbd_daly_fraction__delta1,0.001842035384,0.002116409566,0.2365940052,0.1292826325,0.0002813803047,0.2365940052
test_spatiotemporal_unseen_country,gbd_daly_fraction__delta10,0.01828357648,0.02034085426,0.2194697301,0.1055682328,0.002059170714,0.2194697301
test_spatiotemporal_unseen_country,gbd_daly_fraction__std10,0.005339284742,0.005910808824,0.2123443419,0.1073282957,0.0005742153351,0.2123443419
test_spatiotemporal_unseen_country,overall_daly_rate__cv5,0.03598846327,0.02965059106,-0.2008282538,0.1918512145,0.006546172243,0.2008282538
test_spatiotemporal_unseen_country,bmi_daly_rate__current_rel_ui_width,1.411727001,1.357834428,-0.197763111,0.1822098359,0.0566171032,0.197763111
test_spatiotemporal_unseen_country,gbd_daly_fraction__cv5,0.02894046645,0.02536689343,-0.1918106635,0.1729999002,0.00431402775,0.1918106635
test_spatiotemporal_unseen_country,overall_death_rate__cv5,0.03544935173,0.02936680177,-0.1912174708,0.1874557335,0.00649557825,0.1912174708
test_spatiotemporal_unseen_country,gbd_daly_fraction__log_growth3,0.02013809805,0.01759524343,-0.1905031263,0.169208564,0.00300938582,0.1905031263
test_spatiotemporal_unseen_country,gbd_daly_fraction__log_slope5,0.02022628885,0.01773386713,-0.187140402,0.1731208539,0.003140478514,0.187140402
test_spatiotemporal_unseen_country,gbd_daly_fraction__cv10,0.0593040411,0.05246841715,-0.1825611817,0.2124931418,0.00982838742,0.1825611817
test_spatiotemporal_unseen_country,gbd_daly_fraction__log_growth5,0.0202839642,0.01787305491,-0.1819635801,0.1829972817,0.003182398489,0.1819635801
test_spatiotemporal_unseen_country,derived__daly_fraction_definition_gap_pp,0.02733580544,0.03823050054,0.177741383,0.1292140506,0.01775764871,0.177741383
test_spatiotemporal_unseen_country,gbd_daly_fraction__cv3,0.01657924752,0.01464622812,-0.1770647609,0.1516416031,0.002189239339,0.1770647609
test_spatiotemporal_unseen_country,derived__death_fraction_definition_gap_pp,0.02721385022,0.03729315852,0.1737685016,0.1129040102,0.01591285131,0.1737685016
test_spatiotemporal_unseen_country,bmi_death_rate__current_rel_ui_width,1.422153408,1.37464298,-0.1722858941,0.1602274428,0.05188726095,0.1722858941
test_spatiotemporal_unseen_country,gbd_death_fraction__log_growth3,0.01970536946,0.01745433132,-0.1710995889,0.1654515188,0.002909627317,0.1710995889
test_spatiotemporal_unseen_country,bmi_daly_rate__cv10,0.08424723159,0.07458550598,-0.1708146736,0.1254700983,0.009670770966,0.1708146736
test_spatiotemporal_unseen_country,gbd_daly_fraction__log_slope10,0.02044267923,0.01820735415,-0.1700624671,0.2093689211,0.003511363789,0.1700624671
test_spatiotemporal_unseen_country,gbd_daly_fraction__log_growth10,0.02040190617,0.01822048818,-0.1694446741,0.2106545214,0.00359541278,0.1694446741
test_spatiotemporal_unseen_country,gbd_daly_fraction__log_growth1,0.01993613269,0.01746792429,-0.1686044854,0.1442216569,0.002767380111,0.1686044854
test_spatiotemporal_unseen_country,gbd_death_fraction__log_slope5,0.01977849229,0.01762450331,-0.1640382316,0.1719562073,0.002945191673,0.1640382316
test_spatiotemporal_unseen_country,gbd_death_fraction__cv5,0.02828752176,0.02530389676,-0.1625921372,0.1683419373,0.003983943645,0.1625921372
test_spatiotemporal_unseen_country,bmi_daly_rate__cv5,0.04549860765,0.04006981341,-0.1606848665,0.1204542621,0.005519328012,0.1606848665
test_spatiotemporal_unseen_country,bmi_daly_rate__delta5,1.163381173,-0.08996189699,-0.1598299152,0.1010748666,1.819346421,0.1598299152
test_spatiotemporal_unseen_country,gbd_death_fraction__log_growth5,0.01982192848,0.01778369433,-0.1557723071,0.1807322061,0.002979400443,0.1557723071
test_spatiotemporal_unseen_country,bmi_daly_rate__delta3,0.7129875466,-0.08328541299,-0.153648568,0.05937764976,1.154978526,0.153648568
test_spatiotemporal_unseen_country,bmi_death_rate__delta5,0.04257984789,0.002494237579,-0.1526132725,0.1081612549,0.06411926995,0.1526132725
test_spatiotemporal_unseen_country,gbd_death_fraction__log_growth1,0.01954045489,0.01729597792,-0.1513879193,0.1375187042,0.002660022606,0.1513879193
