fold,selected_rmsle,pooled_rmsle,outcome,horizon,delta
cv1,0.03618102494,0.03823422414,daly,1,-0.002053199194
cv2,0.0353563653,0.03810222092,daly,1,-0.002745855623
cv3,0.03401397732,0.03028375792,daly,1,0.0037302194
cv1,0.06915497315,0.08293666484,daly,3,-0.01378169169
cv2,0.07346320068,0.08198873433,daly,3,-0.008525533653
cv3,0.06200880228,0.06600050416,daly,3,-0.003991701882
cv1,0.08196950058,0.1139434736,daly,5,-0.03197397305
cv2,0.08640528917,0.1214318583,daly,5,-0.03502656913
cv3,0.07729723682,0.1055469442,daly,5,-0.0282497074
cv1,0.01436318723,0.01536925373,death,1,-0.001006066497
cv2,0.01267585271,0.01433272739,death,1,-0.001656874672
cv3,0.0147805925,0.01265219734,death,1,0.002128395153
cv1,0.0288445871,0.03317758293,death,3,-0.004332995823
cv2,0.02725203828,0.03276892061,death,3,-0.005516882327
cv3,0.02321665065,0.02642224648,death,3,-0.003205595831
cv1,0.03301381989,0.04469931899,death,5,-0.0116854991
cv2,0.03403542569,0.04881648491,death,5,-0.01478105923
cv3,0.02919283901,0.04340118799,death,5,-0.01420834898
