outcome,horizon,tree_family,feature,feature_family,mean_absolute_shap_log1p_target,mean_signed_shap_log1p_target,n_explained,within_task_rank
daly,1,random_forest,bmi_daly_rate__current,BMI-attributable burden history,0.6404872503,0.2869947218,505,1
daly,1,random_forest,bmi_daly_rate__mean10,BMI-attributable burden history,0.005166276896,-0.0004865982235,505,2
daly,1,random_forest,bmi_daly_rate__lag1,BMI-attributable burden history,0.004888698668,-0.0005709941116,505,3
daly,1,random_forest,bmi_daly_rate__mean3,BMI-attributable burden history,0.004413970184,0.0001682098407,505,4
daly,1,random_forest,bmi_daly_rate__lag5,BMI-attributable burden history,0.00413065194,-0.0004955092833,505,5
daly,1,random_forest,bmi_daly_rate__mean5,BMI-attributable burden history,0.002926175492,3.493453598e-05,505,6
daly,1,random_forest,bmi_death_rate__current,BMI-attributable burden history,0.002811575034,0.0003421132765,505,7
daly,1,random_forest,bmi_daly_rate__lag3,BMI-attributable burden history,0.002785682181,-0.0003360977509,505,8
daly,1,random_forest,bmi_death_rate__mean3,BMI-attributable burden history,0.001866581127,-4.930648125e-05,505,9
daly,1,random_forest,bmi_death_rate__mean5,BMI-attributable burden history,0.001711211994,-0.0002353075437,505,10
daly,1,random_forest,bmi_death_rate__lag1,BMI-attributable burden history,0.00142179536,-0.0002168352791,505,11
daly,1,random_forest,bmi_death_rate__mean10,BMI-attributable burden history,0.0008829667037,-0.0001633270174,505,12
daly,1,random_forest,bmi_daly_rate__delta1,BMI-attributable burden history,0.0006909806482,-1.737025408e-05,505,13
daly,1,random_forest,bmi_death_rate__log_growth1,BMI-attributable burden history,0.0006855234386,-6.724662766e-05,505,14
daly,1,random_forest,bmi_death_rate__lag3,BMI-attributable burden history,0.0006290561161,-0.0002186176349,505,15
daly,1,random_forest,bmi_death_rate__delta1,BMI-attributable burden history,0.0006191351946,3.179420007e-05,505,16
daly,1,random_forest,bmi_daly_rate__log_growth1,BMI-attributable burden history,0.0005277692035,-3.514262445e-05,505,17
daly,1,random_forest,overall_death_rate__log_growth1,overall liver-cancer burden history,0.0004584471085,1.648692712e-05,505,18
daly,1,random_forest,overall_daly_rate__log_growth1,overall liver-cancer burden history,0.0004403763763,-1.617901548e-05,505,19
daly,1,random_forest,overall_daly_rate__mean3,overall liver-cancer burden history,0.0004098813206,-0.0002261375178,505,20
daly,1,random_forest,overall_daly_rate__delta1,overall liver-cancer burden history,0.0003786819595,8.361741194e-05,505,21
daly,1,random_forest,bmi_death_rate__lag10,BMI-attributable burden history,0.0003760152832,-0.0002129406254,505,22
daly,1,random_forest,bmi_daly_rate__lag10,BMI-attributable burden history,0.0003557689229,-0.0001729020833,505,23
daly,1,random_forest,overall_daly_rate__lag5,overall liver-cancer burden history,0.0003341713543,-0.0001513108932,505,24
daly,1,random_forest,overall_death_rate__lag5,overall liver-cancer burden history,0.0003192577002,-9.459004138e-05,505,25
daly,1,random_forest,overall_death_rate__delta1,overall liver-cancer burden history,0.0003149324139,0.0001170623827,505,26
daly,1,random_forest,bmi_daly_rate__delta3,BMI-attributable burden history,0.0002948021717,8.301445239e-05,505,27
daly,1,random_forest,overall_death_rate__current,overall liver-cancer burden history,0.0002916883545,-0.0001307199868,505,28
daly,1,random_forest,derived__current_death_rate_gap,derived definition/gap features,0.000288077129,-0.0001181140377,505,29
daly,1,random_forest,overall_daly_rate__current,overall liver-cancer burden history,0.0002710848568,-0.0001147024561,505,30
daly,1,random_forest,derived__daly_fraction_definition_gap_pp,derived definition/gap features,0.0002622508804,-7.806823145e-05,505,31
daly,1,random_forest,overall_death_rate__std10,overall liver-cancer burden history,0.0002604138651,-4.569008833e-05,505,32
daly,1,random_forest,derived__current_daly_rate_gap,derived definition/gap features,0.0002524457375,-2.303000609e-05,505,33
daly,1,random_forest,overall_daly_rate__lag1,overall liver-cancer burden history,0.0002492871251,-0.0001369294494,505,34
daly,1,random_forest,overall_daly_rate__lag3,overall liver-cancer burden history,0.0002328026414,-0.0001033564202,505,35
daly,1,random_forest,overall_daly_rate__std3,overall liver-cancer burden history,0.000232749086,9.102405753e-05,505,36
daly,1,random_forest,overall_daly_rate__mean10,overall liver-cancer burden history,0.0002324199051,-0.0001107445118,505,37
daly,1,random_forest,overall_daly_rate__delta3,overall liver-cancer burden history,0.0002202060462,7.053892849e-05,505,38
daly,1,random_forest,bmi_death_rate__delta3,BMI-attributable burden history,0.0002164834899,6.137094559e-05,505,39
daly,1,random_forest,overall_daly_rate__cv3,overall liver-cancer burden history,0.0002106930525,-8.382430374e-05,505,40
daly,1,random_forest,bmi_death_rate__lag5,BMI-attributable burden history,0.0002088280995,-5.219669091e-05,505,41
daly,1,random_forest,bmi_daly_rate__std3,BMI-attributable burden history,0.0001982932214,-3.968774526e-05,505,42
daly,1,random_forest,overall_death_rate__mean5,overall liver-cancer burden history,0.0001872903517,-7.131572324e-05,505,43
daly,1,random_forest,overall_daly_rate__log_growth3,overall liver-cancer burden history,0.0001867959586,4.225876601e-05,505,44
daly,1,random_forest,overall_death_rate__lag1,overall liver-cancer burden history,0.0001824861011,-7.773276912e-05,505,45
daly,1,random_forest,bmi_daly_rate__log_growth3,BMI-attributable burden history,0.0001793699681,2.546097022e-05,505,46
daly,1,random_forest,bmi_death_rate__log_growth3,BMI-attributable burden history,0.0001791789111,7.237567443e-06,505,47
daly,1,random_forest,sdi__log_growth10,sociodemographic index history,0.0001789898569,-8.828765816e-05,505,48
daly,1,random_forest,gbd_death_fraction__delta10,GBD attributable fraction history,0.0001767059494,6.805385148e-05,505,49
daly,1,random_forest,bmi_daly_rate__delta10,BMI-attributable burden history,0.0001588678332,4.841202247e-05,505,50
daly,1,random_forest,gbd_death_fraction__delta1,GBD attributable fraction history,0.0001564477189,7.199183727e-05,505,51
daly,1,random_forest,overall_death_rate__lag3,overall liver-cancer burden history,0.0001554236733,-6.874789202e-05,505,52
daly,1,random_forest,sdi__delta1,sociodemographic index history,0.0001542164808,-7.574313881e-05,505,53
daly,1,random_forest,overall_daly_rate__current_rel_ui_width,overall liver-cancer burden history,0.0001519062532,-6.703607154e-05,505,54
daly,1,random_forest,overall_death_rate__delta3,overall liver-cancer burden history,0.0001508173694,4.394394365e-05,505,55
daly,1,random_forest,overall_death_rate__log_growth3,overall liver-cancer burden history,0.000146455437,2.731826079e-05,505,56
daly,1,random_forest,overall_death_rate__lag10,overall liver-cancer burden history,0.0001435278617,-5.195273198e-05,505,57
daly,1,random_forest,bmi_daly_rate__delta5,BMI-attributable burden history,0.0001410330919,2.701001134e-05,505,58
daly,1,random_forest,overall_death_rate__cv3,overall liver-cancer burden history,0.0001398735399,-4.196553045e-05,505,59
daly,1,random_forest,bmi_death_rate__std3,BMI-attributable burden history,0.0001377372427,3.30270892e-05,505,60
daly,1,random_forest,bmi_death_rate__std10,BMI-attributable burden history,0.000136897643,4.716085546e-05,505,61
daly,1,random_forest,overall_death_rate__current_rel_ui_width,overall liver-cancer burden history,0.0001368529796,-8.580166491e-06,505,62
daly,1,random_forest,overall_daly_rate__lag10,overall liver-cancer burden history,0.0001350529907,-5.496582596e-05,505,63
daly,1,random_forest,gbd_death_fraction__std10,GBD attributable fraction history,0.0001332371292,3.733798815e-05,505,64
daly,1,random_forest,bmi_daly_rate__current_rel_ui_width,BMI-attributable burden history,0.0001330724506,-7.372425421e-05,505,65
daly,1,random_forest,bmi_daly_rate__log_slope5,BMI-attributable burden history,0.0001329034775,2.464794989e-05,505,66
daly,1,random_forest,bmi_death_rate__delta10,BMI-attributable burden history,0.0001320472516,4.757050761e-05,505,67
daly,1,random_forest,overall_death_rate__std3,overall liver-cancer burden history,0.0001299806463,3.666212162e-05,505,68
daly,1,random_forest,overall_death_rate__log_slope5,overall liver-cancer burden history,0.0001271869317,3.896797512e-05,505,69
daly,1,random_forest,bmi_death_rate__current_rel_ui_width,BMI-attributable burden history,0.0001232774557,-7.316506778e-05,505,70
daly,1,random_forest,overall_daly_rate__log_slope5,overall liver-cancer burden history,0.0001167547545,3.712549123e-05,505,71
daly,1,random_forest,overall_death_rate__mean3,overall liver-cancer burden history,0.000115827285,-5.082592684e-05,505,72
daly,1,random_forest,derived__death_fraction_definition_gap_pp,derived definition/gap features,0.0001152457201,7.497391107e-06,505,73
daly,1,random_forest,bmi_daly_rate__std5,BMI-attributable burden history,0.0001123765545,1.544049884e-05,505,74
daly,1,random_forest,bmi_daly_rate__cv10,BMI-attributable burden history,0.0001102476503,1.157608201e-05,505,75
daly,1,random_forest,overall_death_rate__mean10,overall liver-cancer burden history,0.0001096046418,-1.29408422e-05,505,76
daly,1,random_forest,bmi_death_rate__cv5,BMI-attributable burden history,0.000109471016,4.617321692e-06,505,77
daly,1,random_forest,bmi_death_rate__cv3,BMI-attributable burden history,0.0001081659848,2.305313876e-05,505,78
daly,1,random_forest,gbd_daly_fraction__delta1,GBD attributable fraction history,0.0001060648998,2.34273763e-05,505,79
daly,1,random_forest,bmi_death_rate__log_slope5,BMI-attributable burden history,0.0001043819553,1.296248695e-05,505,80
daly,1,random_forest,overall_daly_rate__log_slope10,overall liver-cancer burden history,0.0001035503114,3.862862242e-05,505,81
daly,1,random_forest,bmi_daly_rate__cv5,BMI-attributable burden history,0.0001022251753,1.728799586e-06,505,82
daly,1,random_forest,bmi_death_rate__log_growth10,BMI-attributable burden history,0.0001020548967,3.887195421e-05,505,83
daly,1,random_forest,overall_daly_rate__mean5,overall liver-cancer burden history,0.0001013734325,-4.29357043e-05,505,84
daly,1,random_forest,overall_death_rate__cv10,overall liver-cancer burden history,9.936459961e-05,-3.471132713e-05,505,85
daly,1,random_forest,bmi_death_rate__delta5,BMI-attributable burden history,9.858802907e-05,2.971325417e-05,505,86
daly,1,random_forest,bmi_daly_rate__cv3,BMI-attributable burden history,9.576032755e-05,3.582765883e-05,505,87
daly,1,random_forest,bmi_death_rate__cv10,BMI-attributable burden history,9.398515497e-05,9.34000836e-06,505,88
daly,1,random_forest,gbd_daly_fraction__log_growth1,GBD attributable fraction history,8.999242369e-05,-5.107684718e-06,505,89
daly,1,random_forest,bmi_daly_rate__std10,BMI-attributable burden history,8.7048468e-05,2.541465014e-05,505,90
daly,1,random_forest,gbd_daly_fraction__lag10,GBD attributable fraction history,8.36356207e-05,3.024103082e-05,505,91
daly,1,random_forest,overall_daly_rate__cv10,overall liver-cancer burden history,8.326298121e-05,2.469535755e-05,505,92
daly,1,random_forest,overall_daly_rate__std10,overall liver-cancer burden history,8.158165573e-05,1.640739949e-05,505,93
daly,1,random_forest,overall_daly_rate__std5,overall liver-cancer burden history,8.089829379e-05,1.99126567e-05,505,94
daly,1,random_forest,gbd_daly_fraction__log_growth5,GBD attributable fraction history,8.075250736e-05,3.541413672e-06,505,95
daly,1,random_forest,gbd_death_fraction__delta5,GBD attributable fraction history,7.932911061e-05,2.891254766e-05,505,96
daly,1,random_forest,overall_daly_rate__cv5,overall liver-cancer burden history,7.4764935e-05,1.34973195e-05,505,97
daly,1,random_forest,overall_death_rate__cv5,overall liver-cancer burden history,7.410696651e-05,-1.723121777e-06,505,98
daly,1,random_forest,bmi_death_rate__std5,BMI-attributable burden history,7.4017505e-05,1.662539004e-05,505,99
daly,1,random_forest,overall_death_rate__log_slope10,overall liver-cancer burden history,7.231507624e-05,1.054804881e-05,505,100
daly,1,random_forest,gbd_death_fraction__log_growth10,GBD attributable fraction history,7.163866536e-05,1.306399416e-05,505,101
daly,1,random_forest,sdi__delta10,sociodemographic index history,7.03900126e-05,-2.694257768e-05,505,102
daly,1,random_forest,bmi_death_rate__log_slope10,BMI-attributable burden history,6.992271959e-05,7.80093853e-06,505,103
daly,1,random_forest,gbd_death_fraction__current_rel_ui_width,GBD attributable fraction history,6.980288539e-05,6.809474574e-06,505,104
daly,1,random_forest,overall_daly_rate__log_growth5,overall liver-cancer burden history,6.932373873e-05,2.486077172e-05,505,105
daly,1,random_forest,sdi__lag10,sociodemographic index history,6.889183789e-05,4.139610095e-09,505,106
daly,1,random_forest,gbd_daly_fraction__delta5,GBD attributable fraction history,6.884045191e-05,3.772211014e-05,505,107
daly,1,random_forest,gbd_death_fraction__std5,GBD attributable fraction history,6.848876209e-05,1.089942706e-05,505,108
daly,1,random_forest,sdi__std10,sociodemographic index history,6.811403863e-05,-3.973370446e-06,505,109
daly,1,random_forest,gbd_daly_fraction__current_rel_ui_width,GBD attributable fraction history,6.728135642e-05,1.468128492e-05,505,110
daly,1,random_forest,gbd_death_fraction__delta3,GBD attributable fraction history,6.695167356e-05,3.243732278e-05,505,111
daly,1,random_forest,bmi_death_rate__log_growth5,BMI-attributable burden history,6.678188533e-05,1.007250071e-05,505,112
daly,1,random_forest,overall_death_rate__std5,overall liver-cancer burden history,6.652783578e-05,9.291667735e-07,505,113
daly,1,random_forest,bmi_daly_rate__log_growth10,BMI-attributable burden history,6.583921164e-05,-1.458530068e-06,505,114
daly,1,random_forest,overall_death_rate__log_growth5,overall liver-cancer burden history,6.547415894e-05,2.746647317e-05,505,115
daly,1,random_forest,bmi_daly_rate__log_growth5,BMI-attributable burden history,6.464107965e-05,4.942461424e-06,505,116
daly,1,random_forest,overall_daly_rate__delta5,overall liver-cancer burden history,6.458314295e-05,2.754522901e-05,505,117
