partition,outcome,horizon,family,mean_rmsle,sd_rmsle,min_rmsle,max_rmsle,mean_r2,sd_r2,median_prediction_seed_cv,p95_prediction_seed_cv,task,task_order
test_spatiotemporal_unseen_country,daly,1,gru,0.05791444469,0.0004654057588,0.05723035354,0.05842297744,0.9940499268,0.0004795879359,0.002832847849,0.007100492803,DALY 1 y,0
test_spatiotemporal_unseen_country,daly,1,random_forest,0.1175048304,0.001023320909,0.1166997546,0.1192681531,0.8137286536,0.002286796818,0.001385252281,0.009238937062,DALY 1 y,0
test_spatiotemporal_unseen_country,daly,3,extra_trees,0.1330448089,0.0006415864541,0.1320238227,0.1336399621,0.8260276734,0.001797046731,0.004352387142,0.009192466849,DALY 3 y,1
test_spatiotemporal_unseen_country,daly,3,gru,0.1001033623,0.003408945894,0.09664705645,0.1054991832,0.981876242,0.004111565429,0.01106985857,0.03151980935,DALY 3 y,1
test_spatiotemporal_unseen_country,daly,5,extra_trees,0.2082043025,0.00286370224,0.2040673366,0.2109246992,0.6474923323,0.01025224215,0.008599268637,0.0190746984,DALY 5 y,2
test_spatiotemporal_unseen_country,daly,5,gru,0.1492982173,0.00939290551,0.1376229886,0.1589450298,0.9611647527,0.01949655485,0.04299023712,0.1467635205,DALY 5 y,2
test_spatiotemporal_unseen_country,death,1,extra_trees,0.108827316,0.0002883847952,0.1083209655,0.1090353946,0.730095416,0.0007715449337,0.001693740336,0.008225342349,Death 1 y,3
test_spatiotemporal_unseen_country,death,1,gru,0.0258735435,0.0002376371631,0.0255820964,0.02621498828,0.9942075559,0.000192805716,0.003727669483,0.007409797277,Death 1 y,3
test_spatiotemporal_unseen_country,death,3,extra_trees,0.1116727889,0.000463716367,0.1110854001,0.112227633,0.7352960175,0.001738685616,0.004704717849,0.01245960623,Death 3 y,4
test_spatiotemporal_unseen_country,death,3,gru,0.04871114248,0.00232917185,0.04670861934,0.05239983881,0.9847328955,0.00268754217,0.01448314487,0.04703263202,Death 3 y,4
test_spatiotemporal_unseen_country,death,5,extra_trees,0.1178929702,0.0004472889959,0.1171143378,0.1182597564,0.7293810317,0.0009307501532,0.006055919848,0.01158616466,Death 5 y,5
test_spatiotemporal_unseen_country,death,5,gru,0.07422782099,0.003171192639,0.07087877107,0.07739744772,0.9790075127,0.004974687523,0.03981048713,0.1149252474,Death 5 y,5
test_temporal_seen_country,daly,1,gru,0.06194928122,0.0005213567198,0.06133000484,0.06270866133,0.9914477108,0.0001799187834,0.002692325384,0.005981808589,DALY 1 y,0
test_temporal_seen_country,daly,1,random_forest,0.06551788359,0.0002038350453,0.06521756848,0.06571011569,0.9794299801,0.0002467326811,0.001313167282,0.004041994699,DALY 1 y,0
test_temporal_seen_country,daly,3,extra_trees,0.1033993551,0.0002962566394,0.1029602715,0.1037661545,0.9656065422,0.0003774058101,0.003954237373,0.008409166797,DALY 3 y,1
test_temporal_seen_country,daly,3,gru,0.1049603513,0.0001949861532,0.1047543337,0.1051678449,0.9740747703,0.0004767090115,0.008206321321,0.02277413052,DALY 3 y,1
test_temporal_seen_country,daly,5,extra_trees,0.1241766649,0.0003153813229,0.1238882476,0.1246397062,0.9568686869,0.0006392578351,0.006397679724,0.01305846741,DALY 5 y,2
test_temporal_seen_country,daly,5,gru,0.126241051,0.003826613798,0.1208211203,0.1302844446,0.9685044246,0.003009448627,0.02951415977,0.0892249581,DALY 5 y,2
test_temporal_seen_country,death,1,extra_trees,0.03302317759,8.630366767e-05,0.03288726027,0.03312181136,0.9756324177,0.0003154412303,0.001568825037,0.003823427943,Death 1 y,3
test_temporal_seen_country,death,1,gru,0.02812936626,0.0002697851869,0.02783736363,0.02855153792,0.9911695685,0.0001919440949,0.003598446186,0.006373112674,Death 1 y,3
test_temporal_seen_country,death,3,extra_trees,0.04777973643,0.000151906148,0.04757886236,0.04798873819,0.9651819341,0.0003572994264,0.003700540821,0.007727412684,Death 3 y,4
test_temporal_seen_country,death,3,gru,0.04877273766,0.0007631633122,0.04790353743,0.04957451319,0.9714316367,0.0009429954798,0.01155100316,0.03073848139,Death 3 y,4
test_temporal_seen_country,death,5,extra_trees,0.05337174117,0.000110154093,0.05327637724,0.05354894879,0.9625942716,0.0002008748975,0.004557111816,0.00967287224,Death 5 y,5
test_temporal_seen_country,death,5,gru,0.05654150719,0.001615143285,0.05484587022,0.05834227895,0.9657534549,0.001986007256,0.03245564248,0.0935736512,Death 5 y,5
