partition,outcome,horizon,family,selected_by_cv,reference_transparent_by_cv,subgroup_dimension,subgroup_value,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman,coverage_90,mean_width_90,median_width_90,coverage_95,mean_width_95,median_width_95,task,task_order,overall_rmsle,relative_rmsle
test_spatiotemporal_unseen_country,daly,1,gru,True,False,sdi_quintile,Q1,45,0.07099015859,0.6923772591,1.234529894,0.0542248917,0.3705626188,0.987382045,0.9931488801,0.6666666667,1.265048436,0.869898244,0.6888888889,1.631373939,1.121798411,DALY 1 y,0,0.05854708752,1.212531
test_spatiotemporal_unseen_country,daly,1,gru,True,False,sdi_quintile,Q2,40,0.04877390281,2.33085874,4.550110127,0.04578531981,0.8693200862,0.9912712027,0.981988743,0.675,4.810984613,2.887195867,0.775,6.204122071,3.723253562,DALY 1 y,0,0.05854708752,0.8330713768
test_spatiotemporal_unseen_country,daly,1,gru,True,False,sdi_quintile,Q3,40,0.07099354021,2.86616275,6.998787009,0.05711602184,0.4922260847,0.994395019,0.9744840525,0.725,4.983364154,1.55940502,0.775,6.426418295,2.010968622,DALY 1 y,0,0.05854708752,1.212588759
test_spatiotemporal_unseen_country,daly,1,gru,True,False,sdi_quintile,Q4,40,0.05300947134,1.585092571,2.406442461,0.04856275973,0.901002978,0.9739787955,0.9840525328,0.675,3.133896647,2.807315006,0.725,4.041392546,3.620241258,DALY 1 y,0,0.05854708752,0.9054160263
test_spatiotemporal_unseen_country,daly,1,gru,True,False,sdi_quintile,Q5,40,0.04085026472,0.5467223303,0.7678546426,0.03049449733,0.4112431655,0.9912931972,0.9660412758,0.825,1.773814545,1.906612628,0.85,2.287465634,2.458718628,DALY 1 y,0,0.05854708752,0.6977335072
test_spatiotemporal_unseen_country,daly,3,extra_trees,True,False,sdi_quintile,Q1,45,0.0959847995,1.061668012,1.97519402,0.08314662591,0.5119719197,0.967699795,0.984057971,0.8,2.637185857,1.839577555,0.8444444444,3.404544391,2.374850991,DALY 3 y,1,0.1329024479,0.7222199516
test_spatiotemporal_unseen_country,daly,3,extra_trees,True,False,sdi_quintile,Q2,40,0.112370533,5.984628414,12.49696067,0.1175567275,1.71292975,0.934155516,0.9542213884,0.675,9.472759163,6.008352139,0.825,12.2291074,7.756640102,DALY 3 y,1,0.1329024479,0.8455113866
test_spatiotemporal_unseen_country,daly,3,extra_trees,True,False,sdi_quintile,Q3,40,0.2330911119,17.2313846,45.1569792,0.3433818053,1.126319584,0.7666658234,0.8975609756,0.55,6.996041657,3.412659585,0.6,9.031723844,4.405662581,DALY 3 y,1,0.1329024479,1.753851156
test_spatiotemporal_unseen_country,daly,3,extra_trees,True,False,sdi_quintile,Q4,40,0.07306965868,2.027018387,2.787217685,0.06210211863,1.060669567,0.9650925432,0.9688555347,0.825,6.51556246,5.833450023,0.9,8.411436597,7.530845619,DALY 3 y,1,0.1329024479,0.5497991936
test_spatiotemporal_unseen_country,daly,3,extra_trees,True,False,sdi_quintile,Q5,40,0.08866053672,0.9373624387,1.164777287,0.0522832063,0.7015343947,0.9799651329,0.9435272045,0.8,3.853413795,3.977119389,0.825,4.974665812,5.134366799,DALY 3 y,1,0.1329024479,0.6671098849
test_spatiotemporal_unseen_country,daly,5,extra_trees,True,False,sdi_quintile,Q1,45,0.118853952,1.212381394,2.32786102,0.09495004191,0.6768577203,0.955135808,0.987483531,0.7777777778,3.186221471,2.182985351,0.8666666667,4.217435421,2.889504018,DALY 5 y,2,0.2100536928,0.5658265291
test_spatiotemporal_unseen_country,daly,5,extra_trees,True,False,sdi_quintile,Q2,40,0.1413118721,7.213743724,13.26930539,0.1417003775,2.298956812,0.9257652977,0.9624765478,0.6,11.42528102,7.121317586,0.75,15.12304945,9.426117206,DALY 5 y,2,0.2100536928,0.6727416698
test_spatiotemporal_unseen_country,daly,5,extra_trees,True,False,sdi_quintile,Q3,40,0.3826628155,25.09936729,66.04255917,0.5001725775,2.031873088,0.5009128606,0.8958724203,0.5,6.720423167,3.908660024,0.575,8.895474143,5.173689708,DALY 5 y,2,0.2100536928,1.821738101
test_spatiotemporal_unseen_country,daly,5,extra_trees,True,False,sdi_quintile,Q4,40,0.092233754,2.690222197,4.014114998,0.08242081032,1.120916208,0.9275970849,0.9594746717,0.775,7.759017658,6.993085896,0.9,10.27020758,9.256383595,DALY 5 y,2,0.2100536928,0.4390960842
test_spatiotemporal_unseen_country,daly,5,extra_trees,True,False,sdi_quintile,Q5,40,0.1879603763,1.771582298,2.26441563,0.09881343538,1.408533102,0.9242795884,0.9238273921,0.725,4.773843377,4.724405684,0.75,6.318887854,6.253449754,DALY 5 y,2,0.2100536928,0.8948206232
test_spatiotemporal_unseen_country,death,1,gru,True,False,sdi_quintile,Q1,45,0.0216097638,0.02093628737,0.03588465273,0.05284722647,0.01271966699,0.9875071409,0.993544137,0.7333333333,0.04918395577,0.04450140245,0.8222222222,0.06489129686,0.05871332779,Death 1 y,3,0.02607571679,0.828731343
test_spatiotemporal_unseen_country,death,1,gru,True,False,sdi_quintile,Q2,40,0.02888734989,0.07140452361,0.1318414809,0.04228649519,0.02751336034,0.9922360113,0.9934333959,0.6,0.0941915769,0.07579914743,0.675,0.1242725088,0.1000062907,Death 1 y,3,0.02607571679,1.107825726
test_spatiotemporal_unseen_country,death,1,gru,True,False,sdi_quintile,Q3,40,0.0296242452,0.1114706956,0.2635997193,0.05646416785,0.02144532632,0.9949749806,0.9696060038,0.625,0.1073057735,0.05701085141,0.675,0.1415748427,0.07521778241,Death 1 y,3,0.02607571679,1.136085556
test_spatiotemporal_unseen_country,death,1,gru,True,False,sdi_quintile,Q4,40,0.0316386652,0.05619651724,0.08568905979,0.04406080347,0.02971053009,0.9746229745,0.9750469043,0.65,0.08013984396,0.07807565437,0.7,0.1057332279,0.1030098207,Death 1 y,3,0.02607571679,1.213338274
test_spatiotemporal_unseen_country,death,1,gru,True,False,sdi_quintile,Q5,40,0.0156930958,0.02044206144,0.02920305484,0.0280467494,0.01519108371,0.99163917,0.9748592871,0.85,0.0611277138,0.06105349989,0.925,0.08064940204,0.08055148725,Death 1 y,3,0.02607571679,0.6018279736
test_spatiotemporal_unseen_country,death,3,extra_trees,True,False,sdi_quintile,Q1,45,0.03114718212,0.03233792523,0.05555927376,0.081627159,0.01425135505,0.9700527142,0.982740448,0.8444444444,0.1060449188,0.0960306925,0.8666666667,0.1459151766,0.1321358498,Death 3 y,4,0.1120542189,0.2779652781
test_spatiotemporal_unseen_country,death,3,extra_trees,True,False,sdi_quintile,Q2,40,0.05077291891,0.1254368547,0.2242832015,0.07428499883,0.04761137611,0.9775314915,0.9846153846,0.65,0.1967580811,0.156783285,0.8,0.2707342368,0.2157299095,Death 3 y,4,0.1120542189,0.4531102837
test_spatiotemporal_unseen_country,death,3,extra_trees,True,False,sdi_quintile,Q3,40,0.2371553457,0.8144079365,2.192585428,0.4125287472,0.03622422827,0.652335058,0.9343339587,0.625,0.1669245519,0.1236687166,0.7,0.229684041,0.170165085,Death 3 y,4,0.1120542189,2.116433884
test_spatiotemporal_unseen_country,death,3,extra_trees,True,False,sdi_quintile,Q4,40,0.06044403277,0.1055466623,0.1608822304,0.08275371811,0.04865990336,0.9105446915,0.939587242,0.625,0.1683744721,0.166019402,0.7,0.2316790952,0.2284385772,Death 3 y,4,0.1120542189,0.5394177333
test_spatiotemporal_unseen_country,death,3,extra_trees,True,False,sdi_quintile,Q5,40,0.02801454356,0.03947445953,0.0488102732,0.05415942403,0.03500501689,0.9766430945,0.9729831144,0.775,0.1319493951,0.1331249327,0.9,0.1815590932,0.1831766038,Death 3 y,4,0.1120542189,0.2500088246
test_spatiotemporal_unseen_country,death,5,extra_trees,True,False,sdi_quintile,Q1,45,0.03618448502,0.04020964535,0.06496925882,0.1014968985,0.01941676525,0.9590494093,0.9833992095,0.8,0.1330495008,0.120041959,0.9111111111,0.1798655173,0.1624353149,Death 5 y,5,0.118112109,0.3063571155
test_spatiotemporal_unseen_country,death,5,extra_trees,True,False,sdi_quintile,Q2,40,0.04582192222,0.1098160971,0.175994705,0.06503422513,0.06438650805,0.9861649748,0.9874296435,0.75,0.2483505762,0.1902657536,0.775,0.3360566954,0.2574589575,Death 5 y,5,0.118112109,0.38795279
test_spatiotemporal_unseen_country,death,5,extra_trees,True,False,sdi_quintile,Q3,40,0.2433965677,0.8438588211,2.215316609,0.4274467459,0.06008108119,0.6450890004,0.9268292683,0.525,0.2068455855,0.1484514462,0.675,0.2798940313,0.2008777399,Death 5 y,5,0.118112109,2.060724931
test_spatiotemporal_unseen_country,death,5,extra_trees,True,False,sdi_quintile,Q4,40,0.0809680829,0.1309199112,0.2134426791,0.1026475796,0.07003025156,0.8425464386,0.8883677298,0.65,0.2085058598,0.2073887095,0.775,0.2821406388,0.2806289619,Death 5 y,5,0.118112109,0.6855188987
