outcome,location_id,location_name,sdi_quintile_2023_assignment_only,extra_trees,persistence,pooled_ridge,selected_family,selected_rmsle,delta_vs_persistence,delta_vs_pooled
daly,33,Armenia,Q3,0.1798338503,0.2732692231,0.2582574748,extra_trees,0.1798338503,-0.09343537283,-0.07842362448
death,33,Armenia,Q3,0.08982130746,0.1438827068,0.1491014336,extra_trees,0.08982130746,-0.05406139933,-0.05928012612
daly,152,Saudi Arabia,Q4,0.1668163779,0.2462607988,0.2191974086,extra_trees,0.1668163779,-0.07944442091,-0.05238103068
daly,30,Vanuatu,Q1,0.03866090786,0.04665581536,0.07930333941,extra_trees,0.03866090786,-0.0079949075,-0.04064243155
daly,147,Libya,Q4,0.06525747929,0.1414870162,0.1047187953,extra_trees,0.06525747929,-0.0762295369,-0.03946131599
daly,23,Kiribati,Q2,0.1440180279,0.09983335031,0.05163106472,extra_trees,0.1440180279,0.0441846776,0.0923869632
daly,149,Palestine,Q2,0.1802376645,0.0647409661,0.08058124954,extra_trees,0.1802376645,0.1154966984,0.099656415
daly,369,Nauru,Q2,0.2585967966,0.136925951,0.1406789181,extra_trees,0.2585967966,0.1216708456,0.1179178785
daly,40,Turkmenistan,Q3,0.1493835593,0.08035097634,0.02973384658,extra_trees,0.1493835593,0.06903258292,0.1196497127
daly,67,Japan,Q5,0.3882930808,0.1343341794,0.1783241563,extra_trees,0.3882930808,0.2539589014,0.2099689245
death,38,Mongolia,Q3,0.6716123015,0.1477774811,0.1631166074,extra_trees,0.6716123015,0.5238348204,0.5084956941
daly,38,Mongolia,Q3,0.984615833,0.1796892014,0.1063978113,extra_trees,0.984615833,0.8049266316,0.8782180217
